report,date,team,opponent,duration_minutes,possession_active_pct,possession_contested_pct,attempts,shots_on_target,attempts_against,shots_on_target_against,passes,passes_complete,passes_against,passes_complete_against,pressures,direct_pressures,distance_km,zone4_km,goals,goals_against,xg,xg_against,pass_completion_pct,pass_completion_pct_against,completed_line_breaks,completed_line_breaks_against,defensive_line_breaks,defensive_line_breaks_against,final_third_receptions,final_third_receptions_against,crosses,crosses_against,ball_progressions,ball_progressions_against,forced_turnovers,forced_turnovers_against,second_balls,second_balls_against,phase_build_up_unopposed,phase_build_up_opposed,phase_progression,phase_final_third,phase_long_ball,phase_attacking_transition,phase_counter_attack,phase_set_piece,phase_high_press,phase_mid_press,phase_low_press,phase_high_block,phase_mid_block,phase_low_block,phase_recovery,phase_defensive_transition,phase_counter_press,possession_regains,interceptions,tackles,set_plays,free_kicks,penalties,corners,throw_ins,possession_regains_against,interceptions_against,tackles_against,set_plays_against,free_kicks_against,penalties_against,corners_against,throw_ins_against,goals_per90,xg_per90,attempts_per90,shots_on_target_per90,attempts_against_per90,shots_on_target_against_per90,passes_per90,completed_line_breaks_per90,defensive_line_breaks_per90,final_third_receptions_per90,crosses_per90,ball_progressions_per90,pressures_per90,direct_pressures_per90,forced_turnovers_per90,second_balls_per90,distance_km_per90,zone4_km_per90,set_plays_per90,free_kicks_per90,penalties_per90,corners_per90,throw_ins_per90,possession_regains_per90,interceptions_per90,tackles_per90
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Switzerland,120,54.7,8.3,22,7,11,5,716,629,476,404,241,35,136.7,5.4,3.0,1.0,1.99,0.44,88.0,85.0,98.0,99.0,7.0,8.0,256.0,130.0,16.0,22.0,21.0,34.0,39.0,43.0,69.0,76.0,43.0,23.0,13.0,28.0,3.0,9.0,1.0,6.0,2.0,4.0,1.0,3.0,17.0,30.0,4.0,16.0,10.0,49.0,5.0,29.0,48.0,21.0,0.0,8.0,19.0,42.0,9.0,30.0,35.0,17.0,0.0,2.0,16.0,2.25,1.4925,16.5,5.25,8.25,3.75,537.0,73.5,5.25,192.0,12.0,15.75,180.75,26.25,29.25,51.75,102.52499999999999,4.050000000000001,36.0,15.75,0.0,6.0,14.25,36.75,3.75,21.75
PMSR-M19-ARG-V-ALG.pdf,2026-06-16,Argentina,Algeria,90,44.6,4.6,10,6,7,1,578,517,634,578,288,57,108.4,4.4,3.0,0.0,1.58,0.41,89.0,91.0,102.0,115.0,8.0,7.0,68.0,160.0,5.0,8.0,18.0,40.0,46.0,40.0,50.0,59.0,44.0,19.0,13.0,7.0,2.0,12.0,2.0,3.0,1.0,2.0,1.0,3.0,39.0,33.0,0.0,8.0,8.0,44.0,15.0,46.0,22.0,8.0,0.0,2.0,12.0,31.0,9.0,30.0,37.0,16.0,0.0,2.0,19.0,3.0,1.5800000000000003,10.0,6.0,7.0,1.0,578.0,102.0,8.0,68.0,5.0,18.0,288.0,57.0,46.0,50.0,108.4,4.4,22.0,8.0,0.0,2.0,12.0,44.0,15.0,46.0
PMSR-M22-ENG-V-CRO.pdf,2026-06-17,England,Croatia,90,49.0,7.5,22,11,10,5,482,421,459,399,262,38,117.0,6.6,4.0,2.0,3.33,0.82,87.0,87.0,82.0,85.0,11.0,8.0,78.0,89.0,15.0,12.0,23.0,20.0,36.0,35.0,63.0,48.0,38.0,19.0,16.0,10.0,4.0,12.0,3.0,6.0,10.0,5.0,0.0,5.0,16.0,21.0,4.0,13.0,11.0,49.0,6.0,20.0,36.0,12.0,1.0,8.0,15.0,37.0,11.0,28.0,30.0,10.0,0.0,2.0,18.0,4.0,3.33,22.0,11.0,10.0,5.0,482.0,82.0,11.0,78.0,15.0,23.0,262.0,38.0,36.0,63.0,117.0,6.6,36.0,12.0,1.0,8.0,15.0,49.0,6.0,20.0
PMSR-M43-ARG-V-AUT.pdf,2026-06-22,Argentina,Austria,90,48.2,8.4,12,5,6,1,564,509,475,416,229,35,104.4,4.5,2.0,0.0,2.45,0.63,90.0,88.0,87.0,91.0,6.0,13.0,103.0,146.0,6.0,18.0,14.0,18.0,41.0,31.0,53.0,65.0,45.0,17.0,11.0,12.0,2.0,15.0,1.0,4.0,4.0,3.0,1.0,3.0,22.0,31.0,2.0,13.0,9.0,45.0,3.0,27.0,26.0,12.0,1.0,1.0,12.0,29.0,3.0,34.0,38.0,15.0,0.0,3.0,20.0,2.0,2.45,12.0,5.0,6.0,1.0,564.0,87.0,6.0,103.0,6.0,14.0,229.0,35.0,41.0,53.0,104.4,4.5,26.0,12.0,1.0,1.0,12.0,45.0,3.0,27.0
PMSR-M45-ENG-V-GHA.pdf,2026-06-23,England,Ghana,90,72.4,7.6,19,3,2,0,652,605,179,128,105,39,108.3,5.1,0.0,0.0,1.78,0.34,93.0,72.0,106.0,36.0,16.0,6.0,218.0,24.0,32.0,5.0,31.0,11.0,25.0,31.0,65.0,32.0,50.0,17.0,19.0,23.0,1.0,5.0,0.0,7.0,9.0,2.0,1.0,6.0,16.0,6.0,8.0,24.0,15.0,33.0,6.0,19.0,57.0,26.0,0.0,9.0,22.0,32.0,4.0,43.0,27.0,16.0,0.0,2.0,9.0,0.0,1.7799999999999998,19.0,3.0,2.0,0.0,652.0,106.0,16.0,218.0,32.0,31.0,105.0,39.0,25.0,65.0,108.3,5.1,57.0,26.0,0.0,9.0,22.0,33.0,6.0,19.0
PMSR-M67-PAN-V-ENG.pdf,2026-06-27,England,Panama,90,57.7,9.2,17,6,13,2,562,500,306,231,228,46,115.2,7.6,2.0,0.0,1.61,0.72,89.0,75.0,114.0,84.0,30.0,5.0,177.0,48.0,29.0,10.0,25.0,22.0,44.0,55.0,72.0,57.0,40.0,12.0,23.0,21.0,2.0,11.0,1.0,5.0,12.0,5.0,0.0,5.0,7.0,7.0,8.0,23.0,16.0,45.0,8.0,26.0,41.0,20.0,0.0,7.0,14.0,48.0,7.0,38.0,44.0,17.0,0.0,3.0,24.0,2.0,1.61,17.0,6.0,13.0,2.0,562.0,114.0,30.0,177.0,29.0,25.0,228.0,46.0,44.0,72.0,115.2,7.6,41.0,20.0,0.0,7.0,14.0,45.0,8.0,26.0
PMSR-M70-JOR-V-ARG.pdf,2026-06-27,Argentina,Jordan,90,67.6,4.7,13,4,5,1,824,762,300,239,184,39,105.9,4.7,3.0,1.0,2.52,0.96,92.0,80.0,130.0,66.0,8.0,11.0,144.0,61.0,10.0,9.0,25.0,30.0,42.0,37.0,48.0,44.0,45.0,25.0,16.0,11.0,1.0,6.0,1.0,5.0,8.0,5.0,1.0,5.0,14.0,19.0,4.0,14.0,13.0,34.0,8.0,31.0,38.0,12.0,1.0,6.0,19.0,38.0,13.0,26.0,23.0,10.0,0.0,2.0,11.0,3.0,2.52,13.0,4.0,5.0,1.0,824.0,130.0,8.0,144.0,10.0,25.0,184.0,39.0,42.0,48.0,105.9,4.7,38.0,12.0,1.0,6.0,19.0,34.0,8.0,31.0
PMSR-M80-ENG-V-COD.pdf,2026-07-01,England,Congo DR,90,53.5,8.6,16,7,7,2,523,482,392,326,246,44,115.5,5.9,2.0,1.0,1.75,0.64,92.0,83.0,125.0,91.0,25.0,9.0,222.0,75.0,42.0,16.0,41.0,31.0,35.0,36.0,69.0,48.0,33.0,15.0,25.0,31.0,2.0,12.0,1.0,5.0,9.0,5.0,0.0,10.0,15.0,16.0,6.0,16.0,11.0,34.0,9.0,24.0,36.0,16.0,0.0,5.0,15.0,35.0,7.0,35.0,37.0,10.0,0.0,3.0,24.0,2.0,1.75,16.0,7.0,7.0,2.0,523.0,125.0,25.0,222.0,42.0,41.0,246.0,44.0,35.0,69.0,115.5,5.9,36.0,16.0,0.0,5.0,15.0,34.0,9.0,24.0
PMSR-M86-ARG-V-CPV.pdf,2026-07-03,Argentina,Cabo Verde,120,59.2,6.6,22,12,16,5,862,800,491,425,289,51,140.6,6.2,3.0,2.0,2.73,0.52,93.0,87.0,152.0,100.0,24.0,5.0,262.0,100.0,19.0,19.0,33.0,29.0,51.0,45.0,77.0,69.0,51.0,16.0,14.0,19.0,1.0,5.0,1.0,4.0,9.0,5.0,0.0,5.0,17.0,21.0,5.0,13.0,9.0,41.0,4.0,39.0,37.0,14.0,0.0,8.0,15.0,46.0,6.0,34.0,42.0,16.0,0.0,8.0,18.0,2.25,2.0475,16.5,9.0,12.0,3.75,646.5,114.0,18.0,196.5,14.25,24.75,216.75,38.25,38.25,57.75,105.45,4.65,27.75,10.5,0.0,6.0,11.25,30.75,3.0,29.25
PMSR-M92-MEX-V-ENG.pdf,2026-07-05,England,Mexico,90,31.5,9.1,6,5,20,5,254,204,485,448,243,36,106.7,3.9,3.0,2.0,2.12,2.01,80.0,92.0,53.0,103.0,9.0,8.0,43.0,206.0,8.0,49.0,17.0,20.0,28.0,33.0,48.0,62.0,26.0,13.0,10.0,8.0,12.0,19.0,1.0,8.0,3.0,1.0,0.0,2.0,16.0,49.0,4.0,7.0,5.0,36.0,6.0,25.0,28.0,13.0,1.0,2.0,12.0,36.0,4.0,29.0,43.0,6.0,1.0,12.0,24.0,3.0,2.12,6.0,5.0,20.0,5.0,254.0,53.0,9.0,43.0,8.0,17.0,243.0,36.0,28.0,48.0,106.7,3.9,28.0,13.0,1.0,2.0,12.0,36.0,6.0,25.0
