fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19,Spain vs. Argentina,2941974,moneyline,Spain,Will Spain win on 2026-07-19?,Yes,No,105042264974012349507628582341465372921413790307165600767293079103508862620927,26950933687061136665045692928866901705470041092212665620581588770356803034388,3603469.019626,5038499.5774,0.425,0.4275,0.05,0.0025,True,0.4275,0.425,0.0025000000000000022,179954.56035,1133717.794925,132388.75375,0.575,0.5725,0.0024999999999999467,179114.19624999998,3590709.2459,240991.77965
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19,Spain vs. Argentina,2941975,moneyline,Draw (Spain vs. Argentina),Will Spain vs. Argentina end in a draw?,Yes,No,92571123127402723974640575698896369187398878096159854165218788690275715186568,8897745942892740554419142821188087932128583924929997823029754125155949675043,1043834.3181110002,3397291.45255,0.315,0.3175,0.05,0.0025,True,0.3175,0.315,0.0025000000000000022,122912.03510000001,753114.58645,274182.4197,0.685,0.6825,0.0025000000000000577,596248.4408000001,2790158.255925,262847.48490000004
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19,Spain vs. Argentina,2941976,moneyline,Argentina,Will Argentina win on 2026-07-19?,Yes,No,22596903656102431101396261359922941848858035376971300420659017295333613251025,40285215796521673925483410143614666389701053711161542152061618519144468632440,4885268.187794036,3746188.26745,0.265,0.2675,0.05,0.0025,True,0.2675,0.265,0.0025000000000000022,397685.158575,957120.1050000001,29329.211550000004,0.735,0.7325,0.0024999999999999467,81347.05845,1198274.1476,1095065.078175
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-halftime-result,Spain vs. Argentina - Halftime Result,2942003,soccer_halftime_result,Spain,Spain leading at halftime?,Yes,No,42503841910860913824009439250447867230452353097870659911813776798275939913183,99059826531541617583139361975369310511489155419493341373589793074206923469613,104512.77543399997,506011.7829,0.31,0.32,0.05,0.01,True,0.32,0.31,0.010000000000000009,20453.571200000002,58170.940500000004,43899.5743,0.69,0.68,0.009999999999999898,97711.95569999999,199710.9268,43357.588800000005
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-halftime-result,Spain vs. Argentina - Halftime Result,2942004,soccer_halftime_result,Draw,Spain vs. Argentina: Draw at halftime?,Yes,No,55534690741590152916803799347245209373571978987049575285043457531284537719480,82049642666299749350751413177958219988628930265531855056246225148910944146356,100730.556651,823358.868,0.48,0.49,0.05,0.01,True,0.49,0.48,0.010000000000000009,170356.2175,409940.6575,35308.1616,0.52,0.51,0.010000000000000009,59184.1484,108708.6439,177309.5325
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-halftime-result,Spain vs. Argentina - Halftime Result,2942005,soccer_halftime_result,Argentina,Argentina leading at halftime?,Yes,No,20664793222331339343552998267820854019645651559348706346914375656718469924729,50224683305525930795637556259236786272907665223902846135542340441464287900745,71647.28696500002,477303.0719,0.21,0.22,0.05,0.01,True,0.22,0.21,0.010000000000000009,21427.8218,43678.9772,360.2655,0.79,0.78,0.010000000000000009,1355.2845,128703.3802,75971.3682
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-second-half-result,Spain vs. Argentina - Second Half Result,2942006,soccer_second_half_result,Spain,Spain to win the second half?,Yes,No,105939212437102202833913457556054935614168622874084087446115067861779128457956,23218786246020293905333474773382417683136263949066492185961095523252018618652,5848.23552,191320.6158,0.35,0.36,0.05,0.01,True,0.36,0.35,0.010000000000000009,728.424,10171.740899999999,296.0965,0.65,0.64,0.010000000000000009,549.8935,3123.9596,1294.976
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-second-half-result,Spain vs. Argentina - Second Half Result,2942007,soccer_second_half_result,Draw,Spain vs. Argentina: Second half draw?,Yes,No,96971411701036318269404639535897220026875646216565699305789706527902230545440,14678681355115503843176242219100846521080162753034217854185247120562389412867,2635.1668860000004,167639.6396,0.38,0.39,0.05,0.01,True,0.39,0.38,0.010000000000000009,1524.9156,6688.9348,1015.4398,0.62,0.61,0.010000000000000009,1656.7702,35842.6117,2385.1244
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-second-half-result,Spain vs. Argentina - Second Half Result,2942008,soccer_second_half_result,Argentina,Argentina to win the second half?,Yes,No,92398664276034606727217378427887667955317773344409043285643991870750709654075,2079772460783102876680714723754512283737636997253510656470916509423373186373,49062.12778399996,242127.2424,0.27,0.28,0.05,0.01,True,0.28,0.27,0.010000000000000009,4382.3892000000005,33326.1228,781.3287,0.73,0.72,0.010000000000000009,2112.4813,12530.3854,11269.0008
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942009,soccer_exact_score,Spain 0 - 0 Argentina,Exact Score: Spain 0 - 0 Argentina?,Yes,No,81549293522926834217196813449020148539241513751484223259159114469711911824316,105131637194402927882857711341679712688698913278320313966910923046884205545649,455813.5012729993,1357112.796,0.1,0.11,0.05,0.01,True,0.11,0.1,0.009999999999999995,6718.2445,113649.1738,229741.059,0.9,0.89,0.010000000000000009,2067669.531,3085847.7652,54356.7055
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942010,soccer_exact_score,Spain 0 - 1 Argentina,Exact Score: Spain 0 - 1 Argentina?,Yes,No,44745496501222841727631055299580565730260078104743395625344679668446804748261,9315261753215457668569501926418745411616198632712838640504976861465067073909,171937.47393999956,3208410.3015,0.08,0.09,0.05,0.01,True,0.09,0.08,0.009999999999999995,171027.82439999998,280777.1382,138179.7984,0.92,0.91,0.010000000000000009,1589067.6816,2588471.6045,1729281.3355999999
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942011,soccer_exact_score,Spain 1 - 0 Argentina,Exact Score: Spain 1 - 0 Argentina?,Yes,No,36284631190512394140314037549741121782871517320465510133598056044713226666250,45532354621305932937190196097170933475055093463758992985271554027450114042897,331395.5154260051,2564645.9863,0.11,0.12,0.05,0.01,True,0.12,0.11,0.009999999999999995,87082.6692,293254.14780000004,177881.1584,0.89,0.88,0.010000000000000009,1439220.2815999999,2417909.2909999997,638606.2408
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942012,soccer_exact_score,Spain 0 - 2 Argentina,Exact Score: Spain 0 - 2 Argentina?,Yes,No,47145578323451058779403614719457551996653409901966195623142669480376673877090,46814744040327909045077123830469972958842988519470688298076989755729925747993,414464.0446020002,1257128.18945,0.039,0.04,0.05,0.001,True,0.041,0.039,0.0020000000000000018,4040.6106800000002,44951.46384,242.84598,0.961,0.959,0.0020000000000000018,5983.97402,997504.19018,94510.86932
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942013,soccer_exact_score,Spain 1 - 1 Argentina,Exact Score: Spain 1 - 1 Argentina?,Yes,No,42736655376785853871753155043931522511145630893598165634855727846278733514149,61519513815745308865237366567876664659360188214480972005756531829514547913075,485945.7155299997,3405728.2971,0.15,0.16,0.05,0.01,True,0.16,0.15,0.010000000000000009,167207.016,594773.9918,36272.742,0.85,0.84,0.010000000000000009,205545.538,1411944.0852,877836.8339999999
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942014,soccer_exact_score,Spain 2 - 0 Argentina,Exact Score: Spain 2 - 0 Argentina?,Yes,No,22254858175513103187588388900033291336771070560809999961721316193141200660957,22893608586228782078354772038228054619714640643126094831956979889813476081650,473298.4445690036,2763775.1884,0.08,0.09,0.05,0.01,True,0.09,0.08,0.009999999999999995,112919.93819999999,249273.53789999997,21759.787200000002,0.92,0.91,0.010000000000000009,250237.55280000003,1364203.3655,1141746.0418
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942015,soccer_exact_score,Spain 0 - 3 Argentina,Exact Score: Spain 0 - 3 Argentina?,Yes,No,35289164512036836621533326126064114451858610409336283611332256435522186949436,58281199611700028311622954922299614722293459648127205757837137743802418668533,995046.2425840003,1284880.83394,0.01,0.011,0.05,0.001,True,0.01,0.009,0.0010000000000000009,32.387600000000006,15409.246490000001,89.34875999999998,0.991,0.99,0.0010000000000000009,9838.291239999999,1078011.71912,3206.3724
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942016,soccer_exact_score,Spain 1 - 2 Argentina,Exact Score: Spain 1 - 2 Argentina?,Yes,No,12384785608039901247497028680546060108195625418904439310834182431741545359435,33943426374788577933834234650409034353628286549043800145320636816016760055303,1939609.2539469919,2597046.9088,0.07,0.08,0.05,0.01,True,0.08,0.07,0.009999999999999995,62886.2384,209581.68929999997,9433.301500000001,0.93,0.92,0.010000000000000009,125328.14850000001,1479015.4517,723191.7416000001
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942017,soccer_exact_score,Spain 2 - 1 Argentina,Exact Score: Spain 2 - 1 Argentina?,Yes,No,79464966601443444211409754239549864715374909947355242456484423943167025371292,45493746872063564096177937323959647647530659113687507849142486516762995679101,2021642.5549580005,2476079.2564,0.09,0.1,0.05,0.01,True,0.1,0.09,0.010000000000000009,108545.90600000002,252651.02920000002,21365.2332,0.91,0.9,0.010000000000000009,216026.24680000002,1421874.968,976913.1540000001
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942018,soccer_exact_score,Spain 3 - 0 Argentina,Exact Score: Spain 3 - 0 Argentina?,Yes,No,9849551241373217468398926116494361037206032495449574957261289531683799404303,6378631776633584701711096755651961644025777081603563784626403545311285914224,2285055.6995870005,1065756.62216,0.032,0.033,0.05,0.001,True,0.033,0.032,0.0010000000000000009,7.61772,36767.56878,806.31392,0.968,0.967,0.0010000000000000009,26078.655679999996,1208149.28075,123.22481
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942019,soccer_exact_score,Spain 1 - 3 Argentina,Exact Score: Spain 1 - 3 Argentina?,Yes,No,28222289354527373762480982537652524035997379204805798075050731984117597182468,105464392408709386724730914760889773033348761488075448055131432680768115768863,1810845.952684998,1306716.41654,0.028,0.029,0.05,0.001,True,0.029,0.028,0.0010000000000000009,152.88974000000002,33231.88634,188.32940000000002,0.972,0.971,0.0010000000000000009,6537.7206,1164158.44512,5139.38648
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942020,soccer_exact_score,Spain 2 - 2 Argentina,Exact Score: Spain 2 - 2 Argentina?,Yes,No,30705778356175131138527811895766002183117548687772523359723445110027329785211,34891371387938701211840591458071323530884822030384779347681535463054581294576,2213531.1750029596,2597858.1935,0.05,0.06,0.05,0.01,True,0.06,0.05,0.009999999999999995,45520.2582,159437.64930000002,3755.5480000000007,0.95,0.94,0.010000000000000009,71355.412,1287659.2803999998,715388.7014
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942021,soccer_exact_score,Spain 3 - 1 Argentina,Exact Score: Spain 3 - 1 Argentina?,Yes,No,7021530639078779013734059268307729540470749823782052736997993054767028914999,90697868812610472234346560441302376325910183076355912830906137032174188301710,630004.229417,1028561.84951,0.042,0.043,0.05,0.001,True,0.043,0.042,0.000999999999999994,6194.014979999999,31519.48003,161.83524,0.958,0.957,0.0010000000000000009,3691.3847599999995,1227022.66552,137852.84501999998
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942022,soccer_exact_score,Spain 2 - 3 Argentina,Exact Score: Spain 2 - 3 Argentina?,Yes,No,51109306394725090330084656461396328598075978877907267180360989433722055814374,28270659931872148672320983284020103550194403267662738412591930426417805719170,11415001.398204926,1184898.58206,0.039,0.04,0.05,0.001,True,0.04,0.039,0.0010000000000000009,11751.4192,18242.3186,552.5535600000001,0.961,0.96,0.0010000000000000009,13615.48644,823857.1150999999,282646.71359999996
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942023,soccer_exact_score,Spain 3 - 2 Argentina,Exact Score: Spain 3 - 2 Argentina?,Yes,No,83578876256912836630465568836787043011698561387422220730948431144418924444718,49384164222368191218605127033710312316664748617991737246758669505738720950669,3320761.200336995,743533.12521,0.032,0.033,0.05,0.001,True,0.033,0.032,0.0010000000000000009,4.20519,16911.095540000002,370.74528000000004,0.968,0.967,0.0010000000000000009,11215.04472,1135052.46937,123.22481
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942024,soccer_exact_score,Spain 3 - 3 Argentina,Exact Score: Spain 3 - 3 Argentina?,Yes,No,88228649965626685394164426382716859280399843611049553371375616762843144167182,18428656887981140823068577570134033651673411615058872565391929275495865976021,5872509.562841974,622857.48263,0.017,0.018,0.05,0.001,True,0.017,0.016,0.0010000000000000009,153.19601000000003,5853.92833,495.57344,0.984,0.983,0.0010000000000000009,30477.76656,1812373.08014,8858.333990000001
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-exact-score,Spain vs. Argentina - Exact Score,2942025,soccer_exact_score,Any Other Score,Exact Score: Any Other Score?,Yes,No,112506135920499895973036194948205811788595587475440410000783705571222669619858,115151072969073909238674209070880620860700060256512907416652712296216049269321,561079.0407920005,1279540.7524,0.05,0.06,0.05,0.01,True,0.06,0.05,0.009999999999999995,22967.1498,75265.6047,6578.858,0.95,0.94,0.010000000000000009,124998.302,2922248.0707,359818.6802
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-first-to-score,Spain vs. Argentina - First Team to Score,2942026,soccer_first_to_score,Spain,Spain to score first vs. Argentina?,Yes,No,9442745886371658885992984738892694704152411733298078866606168044613081349804,97171789406634980432007130638998091860312416287731490944838203146022145507770,77106.58091899993,226490.4806,0.52,0.53,0.05,0.01,True,0.53,0.52,0.010000000000000009,16492.714900000003,46039.33500000001,7957.976,0.48,0.47,0.010000000000000009,7345.824,21470.9281,14625.6151
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-first-to-score,Spain vs. Argentina - First Team to Score,2942027,soccer_first_to_score,Argentina,Argentina to score first vs. Spain?,Yes,No,91613958020462206796604703490892509074037827032000264303930178637905513667554,52462745552966070037353896544408106239819915353248296777169963883406867728145,41765.72528700006,224464.3242,0.38,0.39,0.05,0.01,True,0.39,0.38,0.010000000000000009,8028.278700000001,30387.133200000004,4919.5522,0.62,0.61,0.010000000000000009,8026.6378,27030.944,12557.051300000001
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-first-to-score,Spain vs. Argentina - First Team to Score,2942028,soccer_first_to_score,Neither,Spain vs. Argentina: Neither team to score first?,Yes,No,46468009063184382728906236836743754404951837514722945422850096655231290940321,51886558789662081116832110864895092893246044793536840163063722959295768001701,80222.34637599996,240697.7771,0.11,0.12,0.05,0.01,True,0.12,0.11,0.009999999999999995,3967.6139999999996,10810.7012,3432.6413000000002,0.89,0.88,0.010000000000000009,27773.188700000002,265105.9119,29095.836
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942064,spreads,Spain (-1.5),Spread: Spain (-1.5),Spain,Argentina,98699639556495089435803820424633193482385080794955683699757392440226749572387,51499791058434329766698297937382776746424415010143258660366209876130116492569,2972362.559495013,625801.903225,0.2,0.2025,0.05,0.0025,True,0.2025,0.2,0.0025000000000000022,5324.7942,34390.307525,11111.302000000001,0.8,0.7975,0.0025000000000000577,44445.208000000006,559453.1106,20970.4858
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942065,spreads,Argentina (-1.5),Spread: Argentina (-1.5),Argentina,Spain,27866062221579476928861033428139821414043096358422032545150760258360702553383,102231986809071138728906508208881547976182342159506956488734498410239184870444,379932.9107820003,875591.0511,0.085,0.0875,0.05,0.0025,True,0.0875,0.085,0.0024999999999999883,3467.7422499999993,24879.6962,678.29065,0.915,0.9125,0.0025000000000000577,7301.59935,52016.260275,36163.59774999999
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942066,spreads,Spain (-2.5),Spread: Spain (-2.5),Spain,Argentina,1558707332570189961820096200955136519582171078932511484380238317309280969172,53983086445102802647455380797667419444136142614376756774917672725334661547690,479647.141751,393658.415025,0.0625,0.065,0.05,0.0025,True,0.065,0.0625,0.0025000000000000022,426.9382,4004.096375,1202.67125,0.9375,0.935,0.0024999999999999467,18040.068750000002,182949.285,6141.3418
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942067,spreads,Argentina (-2.5),Spread: Argentina (-2.5),Argentina,Spain,49329839933847137508236296569317763424126272037348177295233262183539506102390,95927753836153400849282431012340434441468880940946124526171211637554397656956,426718.44675700006,310912.62684,0.017,0.019,0.05,0.001,True,0.019,0.017,0.0019999999999999983,26.65472,667.8058,65.59008,0.983,0.981,0.0020000000000000018,3792.64992,68876.55962,1376.22528
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942068,spreads,Spain (-3.5),Spread: Spain (-3.5),Spain,Argentina,91615399910374774632716699707955161093586513472414125784440850426973819044394,32635700868942229311190389374989739093646922876665386023614865459624795467554,154232.3164789999,378657.22878,0.02,0.021,0.05,0.001,True,0.021,0.02,0.0010000000000000009,18.19629,1069.01128,47.269200000000005,0.98,0.979,0.0010000000000000009,2316.1908,57319.129089999995,848.29371
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942069,spreads,Argentina (-3.5),Spread: Argentina (-3.5),Argentina,Spain,54844701786035835259029529509138818731759430955520272076143110098426589306237,27715479182877240374926505482638123577644716388119637236285740910613452647386,117200.11057899993,332176.2711,0.003,0.004,0.05,0.001,True,0.004,0.003,0.001,21.3496,481.74269,5.86899,0.997,0.996,0.0010000000000000009,1950.46101,29053.454769999997,5316.050399999999
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942070,spreads,Spain (-4.5),Spread: Spain (-4.5),Spain,Argentina,9783484663367771053370513430414927678392183619921668445617744292539553771659,93904992474937854765835464136967512633018200026836946910032791050847665374852,44147.82456300002,156230.12483,0.006,0.007,0.05,0.001,True,0.007,0.006,0.001,2.2490300000000003,15.63969,4.93926,0.994,0.992,0.0020000000000000018,818.27074,60878.2566,569.3088
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942071,spreads,Argentina (-4.5),Spread: Argentina (-4.5),Argentina,Spain,50566628398671844066086168302979468502494901688337964016203270901568885998503,97749234584173893643480670686521133892631380736811545751163271414470780121700,121053.62503300002,164941.79469,0.001,0.004,0.05,0.001,True,0.004,0.001,0.003,4.50544,33.16637,6.42944,0.999,0.996,0.0030000000000000027,6423.01056,6423.01056,1121.85456
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942072,spreads,Spain (-5.5),Spread: Spain (-5.5),Spain,Argentina,23748597158354846643235421984130201371194669485431024611492995992258659038441,60355982191905787681048665642297423360126574401720213554851134570885746870644,47526.497645998665,205390.89197,0.001,0.003,0.05,0.001,True,0.004,0.001,0.003,15.95476,136.008,40.66596,0.999,0.996,0.0030000000000000027,40625.29404,40625.29404,3972.73524
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-more-markets,Spain vs. Argentina - More Markets,2942073,spreads,Argentina (-5.5),Spread: Argentina (-5.5),Argentina,Spain,70067327697400826440646334682200786574182675701377529276477192598187627976266,26663200342242369242743664725822228580684130521640679795846882193264809290075,48336.960883999964,170239.72674,,0.004,0.05,0.001,True,0.004,,,3.8727199999999997,55.99684,0,,0.996,,0,0,964.30728
