fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,8371221.679625,6827216.581831001,2891165,Will England win on 2026-07-15?,moneyline,main_90m,England win,Yes,No,62975583795498792086117213116943744194566684233762863056174017776352240969485,27980003456155592362417715508008664868431744696620193216867102238354645950149,2186255.345275,3579170.3666369915,0.3575,0.36,0.05,0.0025,0.36,0.3575,0.0025000000000000022,439708.23282499996,460323.76064999995,54968.327999999994,422539.0167,571817.6266249999,118745.00137499999,0.6425,0.64,0.0024999999999999467,771694.2833,1061799.253375,213408.84862499998,759450.1271749999,793668.90935,97721.472
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,8371221.679625,6827216.581831001,2891166,Will England vs. Argentina end in a draw?,moneyline,main_90m,Draw,Yes,No,26480993337079434490856133942482101351393348205667335284619584625389515346213,75854478936717172903010368235076483702592235439702038819177032097826639383727,2525380.894975,867871.739755998,0.3325,0.335,0.05,0.0025,0.335,0.3325,0.0025000000000000022,618346.9406750001,640192.989175,300314.63265,860549.81345,1045246.6131000001,298202.774625,0.6675,0.665,0.0024999999999999467,1750548.38655,2143471.6469,598647.675375,1213635.315925,1254310.847425,596146.95735
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,8371221.679625,6827216.581831001,2891167,Will Argentina win on 2026-07-15?,moneyline,main_90m,Argentina win,Yes,No,85633756210324151397822274959403676422451634259093065838612463900396751402106,105689268247217036209647530756150918909098301169178162392649971420120970124441,3494144.946175,2392183.2184120114,0.3125,0.315,0.05,0.0025,0.315,0.3125,0.0025000000000000022,1100860.5926,1218483.6968,138877.5087,353199.0943,471801.15187500004,13641.421875,0.6875,0.685,0.0024999999999999467,796028.0857,1078153.428125,30011.128125000003,2340807.3774,2579498.6632,302003.47130000003
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891653,Spread: England (-1.5),spreads,spread,England (-1.5),England,Argentina,9672673949409772687752072662946310519015132525500329010995933525175067118138,85114811880071364109901579684216057234728758303760246661139812198099702976200,784158.209475,1176169.531615002,0.1525,0.155,0.05,0.0025,0.155,0.1525,0.0025000000000000022,63907.428025,65593.208225,8211.84885,181915.54085,184635.92369999998,6403.171525,0.8475,0.845,0.0025000000000000577,1049071.24915,1066020.2563,35584.838475000004,337195.161975,345308.231775,44767.821149999996
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891654,Spread: Argentina (-1.5),spreads,spread,Argentina (-1.5),Argentina,England,33564588952055717202630068840485260674531183470813236783877209758871777035850,36650206686168002370330023100957778858668270081463208103780933030717616776997,698720.830125,232301.87489300012,0.12,0.1225,0.05,0.0025,0.1225,0.12,0.0025000000000000022,65185.325849999994,65651.31384999999,6299.993699999999,8097.8800249999995,10583.232775,71.9892,0.88,0.8775,0.0025000000000000577,63677.969975,85301.137225,527.9208,437341.98415,440240.19615,45128.5263
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891655,Spread: England (-2.5),spreads,spread,England (-2.5),England,Argentina,108198604724907666794550545869005388059386710472085746181919868205312372338728,96036106742311747725667254197426653072075345216843694664556026635474500642969,263587.406125,346265.4960810006,0.0375,0.04,0.05,0.0025,0.04,0.0375,0.0025000000000000022,1269.3364000000001,1562.8153750000001,101.46000000000001,2835.1210250000004,5326.814225,284.11275,0.9625,0.96,0.0025000000000000577,85011.968975,194185.385775,7292.22725,27284.443600000002,31950.229625,2458.08
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891656,Spread: Argentina (-2.5),spreads,spread,Argentina (-2.5),Argentina,England,18058478853298825877227818350756723766436956441942705451313504638954140057323,12969165144471406703550225110471320605128996978820530925038073893145640924494,281299.03419,143587.15582800013,0.028,0.029,0.05,0.001,0.029,0.028,0.0010000000000000009,1111.48581,1729.53189,45.714729999999996,1846.45812,2241.76403,182.51604,0.972,0.971,0.0010000000000000009,77763.10188,111042.72597,6335.91396,34057.14419,47166.05811,1530.6552699999997
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891657,Spread: England (-3.5),spreads,spread,England (-3.5),England,Argentina,89610777510706713183468002297522888246634953848702741218519357539709971334508,18185865344542787623247796425835045609312190751525712556283432814727058973579,312761.9899,193647.359435,0.009,0.01,0.05,0.001,0.01,0.009,0.0010000000000000009,518.45367,609.80367,43.1928,129.3045,129.3045,76.11165,0.991,0.99,0.0010000000000000009,23343.7455,23343.7455,8380.73835,39782.55633,42736.20633,4276.0872
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891658,Spread: Argentina (-3.5),spreads,spread,Argentina (-3.5),Argentina,England,76609891115472864672228252102748785951261940284189931400842613012648364366076,112281340779036123274267399958174949463923054247062517196466973912812193680993,272647.29362,45050.663509,0.005,0.006,0.05,0.001,0.006,0.005,0.001,98.61307,103.52307,15.913260000000001,54.37089,54.37089,11.030050000000001,0.995,0.994,0.0010000000000000009,41486.819110000004,41486.819110000004,2194.9799500000004,11883.77693,12134.86693,2636.29674
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891659,Spread: England (-4.5),spreads,spread,England (-4.5),England,Argentina,67526368369003745637852335259887544426875906230864086484375831287264864038879,495358867680128216483199614433500801534392992836275260758563606818055737012,172609.138,32718.228257999996,0.002,0.003,0.05,0.001,0.003,0.002,0.001,70.67374000000001,72.40774,1.06527,38.66122,38.66122,5.15922,0.998,0.997,0.0010000000000000009,36042.94878,36042.94878,2574.45078,16321.98626,16422.25226,354.02473
