fixture_id,home,away,kickoff_beijing,hours_to_kickoff,early_regime,group,contract,side,model_probability,conservative_probability,ask,bid,spread,fee_per_share,depth_within_1c_usd,market_volume,liquidity_grade,central_net_edge,robust_edge,max_entry_for_5pp,recommended_amount_10k,decision
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,main_90m,France win,NO,0.601506,0.518202,0.59,0.58,0.01,0.012095,980878.62,2366670.79,A,-0.000589,-0.098893,0.4408,0.0,PASS
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,main_90m,Draw,NO,0.71006,0.684015,0.71,0.7,0.01,0.010295,1250294.92,94136.79,A,-0.010235,-0.05128,0.607,0.0,PASS
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,main_90m,Spain win,YES,0.311566,0.236999,0.29,0.28,0.01,0.010295,216862.44,219545.89,A,0.011271,-0.078296,0.1651,0.0,LIMIT_WATCH
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,spread,France (-1.5),YES,0.194167,0.137556,0.2,0.19,0.01,0.008,15856.56,125121.06,A,-0.013833,-0.085444,0.0693,0.0,PASS
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,spread,Spain (-1.5),YES,0.133917,0.089,0.12,0.11,0.01,0.00528,7117.51,13693.18,B,0.008637,-0.05128,0.0228,0.0,LIMIT_WATCH
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,spread,France (-2.5),YES,0.071756,0.044282,0.07,0.06,0.01,0.003255,4553.04,9407.57,B,-0.001499,-0.043973,0.0,0.0,PASS
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,spread,Spain (-2.5),YES,0.043288,0.024869,0.033,0.032,0.001,0.001596,842.97,37143.73,C,0.008693,-0.024727,0.0,0.0,PASS
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,spread,France (-3.5),NO,0.978438,0.961234,0.975,0.971,0.004,0.001219,10006.97,6142.72,A,0.002219,-0.029985,0.8913,0.0,LIMIT_WATCH
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,spread,Spain (-3.5),YES,0.011313,0.005499,0.01,0.009,0.001,0.000495,113.57,9370.33,D,0.000818,-0.019996,0.0,0.0,PASS
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,spread,France (-4.5),NO,0.994581,0.98836,0.994,0.991,0.003,0.000298,10278.76,2284.67,A,0.000282,-0.020938,0.9196,0.0,LIMIT_WATCH
fifwc-fra-esp-2026-07-14,France,Spain,2026-07-15T03:00:00+08:00,50.99,True,spread,Spain (-4.5),YES,0.002465,0.000963,0.003,0.002,0.001,0.00015,20.26,1736.65,D,-0.000685,-0.017187,0.0,0.0,PASS
