group,contract,side,central_probability,spec_p10,confidence_class,external_benchmark_probability,external_benchmark_source,ask,bid,spread,fee,central_net_edge,robust_edge,required_edge,maker_robust_edge,maker_decision,maker_queue_depth_at_price_usd,maker_recommended_amount_10k,max_entry,depth_1c_usd,market_volume,decision,recommended_amount_10k
main_90m,England win,NO,0.650574,0.647738,standard,,,0.6425,0.64,0.0025,0.011485,-0.00341,-0.011247,0.02,0.002738,PASS,97721.47,0.0,0.6108,771694.28,3579170.37,PASS,0.0
main_90m,Draw,NO,0.676423,0.672928,standard,,,0.6675,0.665,0.0025,0.011097,-0.002174,-0.010669,0.02,0.002928,PASS,596146.96,0.0,0.6363,1750548.39,867871.74,PASS,0.0
main_90m,Argentina win,YES,0.326998,0.320666,standard,,,0.315,0.3125,0.0025,0.010789,0.001209,-0.010123,0.02,0.003166,PASS,13641.42,0.0,0.2854,1100860.59,2392183.22,PASS,0.0
spread,England (-1.5),NO,0.870124,0.868922,standard,,,0.8475,0.845,0.0025,0.006462,0.016162,0.00996,0.02,0.018922,PASS,44767.82,0.0,0.8371,1049071.25,1176169.53,WATCH,0.0
spread,Argentina (-1.5),YES,0.138198,0.135699,standard,,,0.1225,0.12,0.0025,0.005375,0.010324,0.002825,0.02,0.010699,PASS,71.99,0.0,0.1059,65185.33,232301.87,WATCH,0.0
spread,England (-2.5),YES,0.040809,0.040004,standard,,,0.04,0.0375,0.0025,0.00192,-0.001111,-0.006916,0.02,-0.002496,PASS,284.11,0.0,0.0142,1269.34,346265.5,PASS,0.0
spread,Argentina (-2.5),YES,0.04965,0.048567,standard,,,0.029,0.028,0.001,0.001408,0.019242,0.013159,0.02,0.015567,PASS,182.52,0.0,0.0224,1111.49,143587.16,WATCH,0.0
spread,England (-3.5),YES,0.009702,0.009293,standard,,,0.01,0.009,0.001,0.000495,-0.000793,-0.006202,0.02,-0.004707,PASS,76.11,0.0,0.0,518.45,193647.36,PASS,0.0
spread,Argentina (-3.5),YES,0.013624,0.013019,standard,,,0.006,0.005,0.001,0.000298,0.007326,0.00172,0.02,0.003019,PASS,11.03,0.0,0.0,98.61,45050.66,PASS,0.0
spread,England (-4.5),NO,0.998061,0.997905,standard,,,0.998,0.997,0.001,0.0001,-3.9e-05,-0.005195,0.02,-0.004095,PASS,354.02,0.0,0.9715,36042.95,32718.23,PASS,0.0
spread,Argentina (-4.5),YES,0.003153,0.002898,standard,,,0.004,0.001,0.003,0.000199,-0.001046,-0.006301,0.02,-0.003102,PASS,0.55,0.0,0.0,57.34,9003.07,PASS,0.0
spread,Argentina (-5.5),NO,0.999368,0.999285,standard,,,0.999,0.997,0.002,5e-05,0.000318,-0.004765,0.02,-0.002715,PASS,3179.17,0.0,0.9729,5.0,13490.38,PASS,0.0
totals,Total over 0.5,NO,0.117778,0.111525,standard,,,0.11,0.1075,0.0025,0.004895,0.002883,-0.00837,0.02,-0.000975,PASS,18.81,0.0,0.0827,11055.34,303987.99,PASS,0.0
totals,Total over 1.5,NO,0.343935,0.336239,standard,,,0.3275,0.325,0.0025,0.011012,0.005422,-0.007273,0.02,0.006239,PASS,128591.03,0.0,0.3007,179814.59,768340.21,PASS,0.0
totals,Total over 2.5,YES,0.4042,0.398907,standard,,,0.395,0.3925,0.0025,0.011949,-0.002748,-0.013042,0.02,0.001407,PASS,137412.73,0.0,0.3623,516585.57,2775822.45,PASS,0.0
totals,Total over 3.5,NO,0.790653,0.786051,standard,,,0.7875,0.785,0.0025,0.008367,-0.005214,-0.014816,0.02,-0.003949,PASS,215264.97,0.0,0.7517,79924.16,439251.05,PASS,0.0
