minute,p_england_shot,p_argentina_shot,p_england_sot,p_argentina_sot,p_england_goal,p_argentina_goal,p_england_foul,p_argentina_foul,p_england_yellow,p_argentina_yellow,p_england_red,p_argentina_red,p_england_penalty,p_argentina_penalty,p_england_corner,p_argentina_corner,p_var_review,p_any_injury_stoppage,p_any_substitution,expected_england_possession,p_england_leading_after,p_draw_after,p_argentina_leading_after,expected_england_goals_after,expected_argentina_goals_after,modal_score_after,expected_england_passes,p_any_england_passes,expected_england_line_breaks,p_any_england_line_breaks,expected_england_final_third_receptions,p_any_england_final_third_receptions,expected_england_crosses,p_any_england_crosses,expected_england_throw_ins,p_any_england_throw_ins,expected_england_pressures,p_any_england_pressures,expected_england_direct_pressures,p_any_england_direct_pressures,expected_england_forced_turnovers,p_any_england_forced_turnovers,expected_england_regains,p_any_england_regains,expected_england_interceptions,p_any_england_interceptions,expected_england_tackles,p_any_england_tackles,expected_argentina_passes,p_any_argentina_passes,expected_argentina_line_breaks,p_any_argentina_line_breaks,expected_argentina_final_third_receptions,p_any_argentina_final_third_receptions,expected_argentina_crosses,p_any_argentina_crosses,expected_argentina_throw_ins,p_any_argentina_throw_ins,expected_argentina_pressures,p_any_argentina_pressures,expected_argentina_direct_pressures,p_any_argentina_direct_pressures,expected_argentina_forced_turnovers,p_any_argentina_forced_turnovers,expected_argentina_regains,p_any_argentina_regains,expected_argentina_interceptions,p_any_argentina_interceptions,expected_argentina_tackles,p_any_argentina_tackles
1,0.080396,0.097488,0.034308,0.041604,0.006768,0.008796,0.119552,0.147372,0.00384,0.00464,0.001828,0.00224,0.0011,0.001284,0.027292,0.035392,0.006176,0.042732,0.042732,0.4911731519606928,0.006708,0.984556,0.008736,0.006768,0.008804,0-0,3.7149116079412097,0.9756424059622442,0.7195035240861767,0.5130060232696401,1.0886108815661235,0.6633161372237453,0.17348525459049172,0.15927045202804646,0.12727876094280316,0.11951180733507638,3.065881895349332,0.9533872838047635,0.5554227792837764,0.4261703933647133,0.4576854977411206,0.36725355489607725,0.5274327601705104,0.40988199887334953,0.09409569933266063,0.08980434704389528,0.3018465634251354,0.26054848490664173,4.7494053804070955,0.991343158799596,0.795620885617318,0.5486990583471876,1.28224366861453,0.7225858238079244,0.09954569630997978,0.09475141759648542,0.11122089590310245,0.10525891754147454,2.8932508673403956,0.9446041649324107,0.5099399026151887,0.3994683318894313,0.5263994384680768,0.4092719019768929,0.518573463397952,0.40463074149306155,0.08897966395858242,0.08513582189890256,0.4126047545547664,0.3380761464796739
2,0.087284,0.105252,0.03706,0.044608,0.0069,0.00942,0.118256,0.148564,0.003552,0.004228,0.001404,0.00182,0.000908,0.001076,0.0295,0.038772,0.005316,0.048504,0.048504,0.4912896319606928,0.013312,0.968852,0.017836,0.013676,0.018228,0-0,4.029959458998534,0.982224949442597,0.7805219447148026,0.5418331888595498,1.1809319257982087,0.6930074889904585,0.188197894463815,0.17154925480639138,0.13807279976584041,0.1289647217267137,3.0041755163117507,0.9504203849344852,0.5442438983893163,0.41971963156727565,0.44847375516014953,0.3613979286711628,0.5168172286768516,0.4035842146249736,0.09220185440091845,0.08807894431274288,0.2957713592621321,0.25604249243064514,5.152184804740853,0.9942132520088165,0.863094536870349,0.5781453843029094,1.390985990091392,0.7511701601179174,0.10798779696115644,0.10236144971830385,0.12065312685364231,0.11365864570937989,2.835018997762597,0.9412825896761454,0.4996764462945483,0.39327306329358447,0.5158047044293802,0.4029800233531686,0.5081362411618947,0.3983841986574256,0.08718878842642522,0.08349594605862398,0.40430034288910977,0.3325563707856616
3,0.086892,0.105924,0.036904,0.044836,0.00758,0.009492,0.117416,0.145444,0.005084,0.005976,0.00128,0.001568,0.001444,0.001672,0.030924,0.040724,0.006176,0.045044,0.045044,0.4913741919606928,0.020444,0.952748,0.026808,0.021268,0.027748,0-0,4.0066225811424365,0.9818052571522011,0.7760020617052747,0.539757641391984,1.1740933299291654,0.6909008964150043,0.18710806928801327,0.17064589616528414,0.1372732413345043,0.12826799962808244,2.922883712851882,0.9462216179313911,0.5295168733596957,0.41111059087557333,0.43633823239743597,0.3536009441454906,0.5028323585019385,0.3951848219816734,0.08970690862098717,0.08580091011900992,0.28776790304739197,0.25006437018420313,5.122349291827241,0.9940380000482981,0.8580964886293837,0.5760316567269451,1.382931003315328,0.749157744940273,0.10736245617218039,0.10179994417119254,0.11995444307952824,0.11303915699865619,2.7583045029137563,0.9366008296073344,0.48615539892393034,0.38501376831109,0.5018472327608715,0.3945887094065076,0.4943862750819893,0.39005486902513653,0.08482949423266696,0.08133109060433297,0.3933601352233309,0.3252143102731583
4,0.089884,0.108096,0.03824,0.046484,0.007792,0.010324,0.118164,0.14542,0.005548,0.006448,0.00108,0.00112,0.001748,0.002252,0.032052,0.042236,0.006588,0.040456,0.040456,0.4914621119606928,0.02746,0.936284,0.036256,0.029068,0.038088,0-0,4.089968573485645,0.9832602403773895,0.7921445010250171,0.5471274325019889,1.19851688660432,0.6983587514963738,0.19100030205873372,0.17386766138933196,0.14012880716070464,0.1307537369555558,2.891509572115644,0.944507620397462,0.5238330560959598,0.40775392077246886,0.43165459169984505,0.3505663422755707,0.4974349719712982,0.391911575143401,0.08874399751928562,0.08492019370844328,0.2846790115359428,0.2477443190346631,5.22890469509014,0.9946406077423252,0.8759466609185453,0.5835324205739043,1.4116988132298416,0.7562711185907158,0.10959581613280914,0.10380370981465459,0.12244974227279276,0.11524963063115601,2.7286969501783176,0.9346956709548603,0.48093702234656066,0.38179615049521487,0.4964604205385786,0.3913186728377669,0.48907954854193375,0.3868094533601626,0.083918937141758,0.08049420915834027,0.38913782005278275,0.32235912892262386
5,0.094848,0.114124,0.039776,0.048716,0.008636,0.01074,0.116744,0.14294,0.006104,0.0074,0.001128,0.00122,0.001656,0.001928,0.036228,0.048172,0.0062,0.042964,0.042964,0.4915371519606928,0.035124,0.918996,0.04588,0.037712,0.04884,0-0,4.370011107758821,0.9873488999581432,0.8463830971393513,0.5710363506694176,1.2805800370328402,0.7221239247147754,0.20407820416835437,0.1846013988756955,0.14972350833673773,0.13905401209237822,2.762266843112628,0.9368515416575213,0.5004191222931066,0.3937234975430983,0.41236078822917155,0.33791463964899393,0.4752009617853766,0.37823990610945457,0.08477737865257462,0.08128321239361747,0.27195462262310727,0.2381111671778383,5.586930850053479,0.9962534911653439,0.9359232398101284,0.6077764181053626,1.5083586545426075,0.7787271347215479,0.11709990560052172,0.1105036769401424,0.13083394756216152,0.1226365493643905,2.6067315090591943,0.9262247160325481,0.45944042629649995,0.3683630059125319,0.47426997019002803,0.37766078315024487,0.4672190033918538,0.37325718342144265,0.0801679855433866,0.07703871079037428,0.3717444023353004,0.3104695376215054
6,0.095684,0.115872,0.04076,0.04974,0.008088,0.01068,0.117772,0.146148,0.006348,0.008168,0.000976,0.00128,0.001624,0.00192,0.036464,0.04902,0.00612,0.04388,0.04388,0.4916431319606928,0.04204,0.902744,0.055216,0.045808,0.059528,0-0,4.410017184083562,0.9878450305438905,0.8541314680128276,0.5743472764104924,1.2923033442369145,0.7253625306323142,0.2059464758983002,0.1861233628669704,0.1510941799333139,0.14023327792646978,2.6765732945345415,0.9312014971055402,0.4848946661846932,0.3842379460851404,0.3995681576670945,0.3293904188796337,0.46045884633601547,0.36900595023574767,0.08214733788225538,0.07886376956382424,0.2635177995395967,0.23165605385098043,5.638077443619671,0.9964402944336489,0.944491322508926,0.6111226662547997,1.522167203301574,0.781761592922389,0.11817191838162351,0.11145671744013674,0.13203169117492847,0.12368677675633533,2.52586311875195,0.9200107572321929,0.44518724848069885,0.3592957061061761,0.45955673680674997,0.3684364676613374,0.452724511498866,0.36410670921202504,0.07768094154881426,0.0747404086542175,0.36021181015305664,0.30247143320936776
7,0.0982,0.118928,0.04216,0.051072,0.008904,0.011252,0.115508,0.14028,0.00766,0.009352,0.000104,0.00012,0.0022,0.002496,0.03456,0.046488,0.005876,0.04376,0.04376,0.4917183119606929,0.049364,0.88598,0.064656,0.054724,0.070792,0-0,4.4500232604083,0.9883217046746814,0.8618798388863038,0.5776326470042255,1.3040266514409886,0.7285633910610471,0.20781474762824598,0.18764248607045442,0.15246485152989003,0.14141092848163905,2.590177339820569,0.9249932627755225,0.4692429604360469,0.374524401130264,0.38667066947745954,0.32068522281754297,0.4455958938747744,0.3595574734761824,0.07949573940070402,0.07641804502714922,0.2550118221685164,0.22509266317819177,5.689224037185861,0.9966177835744315,0.9530594052077235,0.6144403659507667,1.5359757520605406,0.7847544376313949,0.1192439311627253,0.11240873681596109,0.13322943478769542,0.1247357469981516,2.444331872786449,0.9132159016460912,0.4308172413385387,0.35002231102703696,0.44472290314983853,0.35899812897491545,0.43811121229527994,0.35474598131361723,0.07517351194772905,0.07241747428605416,0.34858468852669616,0.2943138510270519
8,0.1018,0.123024,0.044088,0.053196,0.00912,0.011608,0.116084,0.142084,0.00778,0.00976,0.000112,0.000112,0.00216,0.002656,0.036624,0.047828,0.005828,0.04044,0.04044,0.49179629196069286,0.056732,0.869016,0.074252,0.063852,0.082424,0-0,4.630050603869629,0.9902457345137254,0.8967475078169472,0.5921058227955192,1.356781533859323,0.742511838285467,0.21622197041300215,0.19444352767607886,0.15863287371448273,0.1466904261548514,2.5318776305420347,0.9204904095925863,0.4586812402967164,0.3678832938773855,0.3779674863901448,0.3147472196547757,0.43556642188873357,0.35310185398462657,0.07770644936843764,0.07476400970797126,0.24927201630022644,0.22063205623632642,5.919383708233722,0.9973131444462412,0.9916157773523125,0.6290232093966848,1.5981142214758899,0.7977223906736283,0.12406798867768339,0.116680216902875,0.13861928104514676,0.12944059615982795,2.389314853151192,0.9083075148217292,0.42112040725073957,0.34368892796040207,0.43471308043826407,0.3525495933824808,0.42825020551562426,0.3483516516114893,0.07348150660715934,0.07084667116984822,0.3407387446650057,0.2887552995917809
9,0.101636,0.122184,0.043284,0.053032,0.008908,0.011752,0.1123,0.13868,0.009144,0.011372,5.2e-05,7.2e-05,0.002156,0.002624,0.037616,0.050032,0.005888,0.03344,0.03344,0.4918805719606928,0.063728,0.852656,0.083616,0.072776,0.094184,0-0,4.610047565707259,0.9900486550461701,0.8928733223802091,0.5905225000518874,1.350919880257286,0.7409980997034726,0.21528783454802922,0.19369067690631292,0.15794753791619465,0.1461054221176662,2.4489937065074923,0.9136195331198406,0.44366578274923457,0.3583201545330593,0.36559428633829993,0.30621577814512624,0.42130765448689256,0.3438118088897819,0.07516263944304691,0.07240738908587474,0.24111181036699494,0.21424623394036157,5.893810411450627,0.9972435465610708,0.9873317360029137,0.6274305203490903,1.5912099470964067,0.7963209782570819,0.12353198228713248,0.11620662494141476,0.13802040923876327,0.12891908653396666,2.311097885476972,0.9008476661263546,0.4073345467403746,0.3345784615467918,0.4204822481495198,0.34326996340774607,0.4142309428650296,0.3391516845618041,0.07107600503863858,0.06860890097915895,0.32958427025922904,0.2807773264558979
10,0.10484,0.126004,0.044648,0.054528,0.009864,0.012404,0.109188,0.133204,0.008668,0.010552,7.6e-05,0.000132,0.002608,0.003208,0.038876,0.051432,0.00694,0.039728,0.039728,0.4919565919606928,0.071192,0.835668,0.09314,0.082652,0.10662,0-0,4.770071871006217,0.9915202293116,0.9238668058741142,0.6030189791552522,1.3978131090735828,0.7528631652913873,0.22276092146781246,0.1996938375531725,0.16343022430249926,0.15077424774645953,2.4307311469744572,0.9120275117559603,0.44035729210317925,0.3561936469410799,0.36286798802179165,0.3043217346984882,0.41816589217801226,0.34174697966053325,0.07460213895101166,0.07188732723720326,0.2393137988901812,0.2128321687792969,6.098396785715391,0.9977535335989898,1.021604066798104,0.639983014535114,1.6464441421322726,0.8072659736087412,0.12782003341153966,0.11998826239517768,0.14281138368983112,0.13308243173137257,2.293863638362313,0.8991240402676874,0.4042969842550399,0.3325541290829842,0.41734664103505065,0.3412074841602841,0.41114195278947474,0.3371071745641243,0.07054597926930348,0.06811510884563077,0.32712650471219346,0.2790074716951042
