team,player,role,squad_status,p_appearance,expected_minutes,p_substituted,tournament_minutes,tournament_attempts,tournament_goals,expected_shots,expected_goals,p_anytime_goal_90m,p_first_goal,p_assist_90m,p_yellow_90m
Argentina,Lionel Messi,FWD,starter,1.0,94.46799999999999,0.02,540.0,33.0,8.0,4.481143128082356,0.5964105984712776,0.44921491895602617,0.24803231595469535,0.1160765138590758,0.04996419348767389
Argentina,Julian Alvarez,FWD,starter,1.0,94.46799999999999,0.02,417.0,8.0,1.0,1.855116633906224,0.1448988478838219,0.13489020362827397,0.060259822531511,0.03128890429341036,0.2180988079949313
Argentina,Enzo Fernandez,MID,starter,1.0,94.46799999999999,0.02,480.0,8.0,1.0,1.362252552869789,0.09995785053313344,0.09512444274550103,0.04156998086408144,0.11051467982426255,0.33977222684717445
Argentina,Alexis Mac Allister,MID,starter,1.0,94.46799999999999,0.02,510.0,10.0,1.0,1.4742055785202792,0.09486414614233822,0.09050351531837131,0.039451636052510515,0.06706109892298051,0.14252805021382797
Argentina,Lisandro Martinez,DEF,starter,1.0,94.46799999999999,0.02,510.0,4.0,1.0,0.575572698146332,0.05544990873102347,0.053940588199976824,0.023060236215259978,0.08626756510097688,0.29065448718624076
Argentina,Cristian Romero,DEF,starter,1.0,94.46799999999999,0.02,510.0,3.0,1.0,0.48372159703437717,0.04914224815344895,0.04795430667592826,0.020437037255814784,0.07983998764235878,0.14252805021382797
Argentina,Leandro Paredes,MID,starter,1.0,94.46799999999999,0.02,344.0,3.0,0.0,0.8982792428779907,0.047801805151640106,0.046677287994743466,0.01987958039137256,0.1546165030589124,0.08813204653510631
Argentina,Rodrigo De Paul,MID,starter,1.0,91.19200000000001,0.14315789473684204,407.0,1.0,0.0,0.4925858414191866,0.030978866617646615,0.030503938409510933,0.012883339183645526,0.061719451707913486,0.0852099139330037
Argentina,Lautaro Martinez,FWD,bench,0.35555555555555557,8.533333333333333,0.0,303.0,9.0,2.0,0.21927412559481194,0.022499821924480093,0.02224858869308821,0.00935711564281631,0.0017590283896596892,0.004619238165653017
Argentina,Nahuel Molina,DEF,starter,1.0,94.46799999999999,0.02,397.0,1.0,0.0,0.28181087575526304,0.017723167816338356,0.01756703622045619,0.007370624148544244,0.03972530243620953,0.14252805021382797
Argentina,Nicolas Tagliafico,DEF,starter,1.0,94.16,0.03157894736842104,276.0,0.0,0.0,0.16836017071673343,0.011647042032439185,0.011579477800597204,0.004843714744057648,0.025230947471169496,0.14209806116348334
Argentina,Thiago Almada,FWD,bench,0.35555555555555557,8.533333333333333,0.0,243.0,5.0,0.0,0.17727411189181436,0.008175801611024283,0.00814247064268192,0.003400112294393007,0.006462963772897901,0.004619238165653017
Argentina,Giovani Lo Celso,MID,bench,0.13333333333333333,3.2,0.0,60.0,1.0,1.0,0.04227679166492126,0.0050758903465180335,0.005063029783915929,0.002110936394165336,0.00276268032599547,0.0031203309913695465
Argentina,Gonzalo Montiel,DEF,bench,0.4666666666666667,8.4,0.0,113.0,1.0,0.0,0.04934697184096611,0.0031034453898262375,0.003098634681059864,0.0012906456549406783,0.002933305884899151,0.013579742966265074
Argentina,Nicolas Gonzalez,MID,bench,0.13333333333333333,3.2,0.0,0.0,0.0,0.0,0.040263611109448816,0.0027854092150960638,0.0027815335621098614,0.0011583823296780302,0.00019843824041487768,0.0031203309913695465
Argentina,Exequiel Palacios,MID,bench,0.13333333333333333,3.2,0.0,90.0,0.0,0.0,0.026842407406299215,0.001856939476730709,0.0018552164313159203,0.0007722548864520203,0.0037201031679906515,0.0031203309913695465
Argentina,Emiliano Martinez,GK,starter,1.0,94.46799999999999,0.02,600.0,0.0,0.0,0.004388795554947013,0.00030361388969041725,0.00030356780365770053,0.00012626545606156633,0.02757633510965085,0.04996419348767389
England,Harry Kane,FWD,starter,1.0,94.46799999999999,0.02,564.0,22.0,6.0,2.2287222166551595,0.3180451545322008,0.2724300654071883,0.13320759045782504,0.024384481407724312,0.07201184437974273
England,Jude Bellingham,MID,starter,1.0,89.86666666666667,0.1929824561403508,460.0,17.0,6.0,1.683046993070786,0.28313808795450085,0.24658425696263053,0.11858738272158201,0.052868246892175286,0.19616920338509947
England,Bukayo Saka,FWD,starter,1.0,94.46799999999999,0.02,267.0,8.0,0.0,1.7635610107104314,0.07226528463850618,0.06971592700051066,0.030267036938837134,0.06000224448873315,0.16151967153729796
England,Anthony Gordon,FWD,starter,1.0,91.29,0.1394736842105263,327.0,5.0,0.0,1.171659472369297,0.055858246948450145,0.05432682155148505,0.02339523925194042,0.0700501096834969,0.05027918547344479
England,Elliot Anderson,MID,starter,1.0,93.97333333333334,0.038596491228070184,548.0,7.0,0.0,0.8226427676995164,0.034605052731892835,0.03401314520211651,0.01449371457603738,0.06667657138740468,0.09116015034899927
England,Nico O'Reilly,DEF,starter,1.0,94.46799999999999,0.02,480.0,7.0,0.0,0.7585466638366356,0.03190880456540551,0.031405090514675216,0.013364438696760494,0.04927974935402335,0.1479833711339923
England,Declan Rice,MID,starter,1.0,90.072,0.1852631578947368,387.0,4.0,0.0,0.5851043002799076,0.02988700575037334,0.029444805491212644,0.01251764400517951,0.07582360524972875,0.14596807220111707
England,Marcus Rashford,FWD,bench,0.35555555555555557,8.533333333333333,0.0,176.0,9.0,1.0,0.24083648575687489,0.017605208056710613,0.01745114182889551,0.00737363016327819,0.00790052394708085,0.006728225069290272
England,John Stones,DEF,starter,1.0,94.46799999999999,0.02,240.0,0.0,0.0,0.2276130067361731,0.01677276635227639,0.016632886655095325,0.0070249766715833155,0.04858342959597306,0.1965743421806624
England,Ezri Konsa,DEF,starter,1.0,93.55333333333333,0.05438596491228076,539.0,2.0,0.0,0.2531295223470359,0.015084770471547203,0.014971565261160946,0.0063179894379453835,0.060552001441780745,0.14666119953174606
England,Marc Guehi,DEF,starter,1.0,94.46799999999999,0.02,483.0,1.0,0.0,0.18160977460548347,0.011806568388368155,0.011737144348309747,0.004944972448655294,0.0659297097640622,0.1479833711339923
England,Eberechi Eze,MID,bench,0.5777777777777778,13.866666666666667,0.0,110.0,2.0,0.0,0.14434475833140858,0.008601950211145518,0.00856505929116158,0.0036027747775319798,0.007597126542183252,0.014005682583006163
England,Ollie Watkins,FWD,bench,0.24444444444444446,5.866666666666667,0.0,6.0,0.0,0.0,0.09944678621738853,0.007111609568001367,0.0070863819111839366,0.0029785719459353177,0.00058297222365844,0.003309715143323455
England,Morgan Rogers,MID,bench,0.5777777777777778,13.866666666666667,0.0,155.0,1.0,0.0,0.09718734972230827,0.006318212185843656,0.006298294253881842,0.002646271478386221,0.005555086636951145,0.014005682583006163
