fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd,side,model_probability,scenario_p10,scenario_p90,ask,bid,spread,estimated_fee,central_net_edge,robust_edge,required_edge,max_entry,depth_2c_usd,external_validation_source,external_conflict_reason,decision,stake_per_10k
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941971,moneyline,France,Will France win on 2026-07-18?,Yes,No,27017352779469567119021515174282416893555366624071034758236558815968401338728,24700818764893371447983775874874488061572200819525844393509377284018768095208,123853.02035700009,1113478.8926,0.49,0.5,0.05,0.01,True,0.5,0.49,0.010000000000000009,546678.395,745638.0148,153189.435,0.51,0.5,0.010000000000000009,159442.065,264300.6078,546678.395,No,0.629143,0.613569,0.655746,0.51,0.5,0.01,0.012495,0.106648,0.079074,0.025,0.564,264300.61,Oddschecker consensus captured 2026-07-16,External sharp pricing implies a materially higher-scoring and more France-favoured match than the independent model; do not automate correlated contrarian totals or spread bets before lineups.,EXTERNAL_CONFLICT_PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941972,moneyline,Draw (France vs. England),Will France vs. England end in a draw?,Yes,No,85239138404163331579594125846576574312907099172264868553957025875753281044940,112547101819436418115775183743525115211037676921707460770609242558856503450400,15928.964170000001,863503.4873,0.25,0.26,0.05,0.01,True,0.26,0.25,0.010000000000000009,198222.921,238708.9491,69257.0425,0.75,0.74,0.010000000000000009,207771.1275,286029.1125,564172.929,Yes,0.305323,0.295431,0.340123,0.26,0.25,0.01,0.00962,0.035703,0.013811,0.025,0.249,238708.95,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941973,moneyline,England,Will England win on 2026-07-18?,Yes,No,104204269101315799616235020335758894730330540969530162829399554926283403684718,34385162543059510571975707768358382063196208867331187336985212373807572088934,101567.9132439999,551807.2948,0.25,0.26,0.05,0.01,True,0.26,0.25,0.010000000000000009,58543.30820000001,126294.3788,34333.49,0.75,0.74,0.010000000000000009,103000.47,207687.63940000001,167031.5124,Yes,0.32382,0.298983,0.338917,0.26,0.25,0.01,0.00962,0.0542,0.017363,0.025,0.252,126294.38,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941977,soccer_halftime_result,France,France leading at halftime?,Yes,No,61811493468803204160632540963577001178772148991316628543392506941734077645782,78490391201114733703387667755358493334495392218047392522111826426630817820622,4477.566777999999,113122.5467,0.39,0.4,0.05,0.01,True,0.4,0.39,0.010000000000000009,75.2,2864.8794,2548.3809,0.61,0.6,0.010000000000000009,3985.9291000000003,14389.6386,131.4,No,0.709407,0.693851,0.742111,0.61,0.6,0.01,0.011895,0.087512,0.053956,0.04,0.624,14389.64,Oddschecker consensus captured 2026-07-16,External sharp pricing implies a materially higher-scoring and more France-favoured match than the independent model; do not automate correlated contrarian totals or spread bets before lineups.,EXTERNAL_CONFLICT_PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941978,soccer_halftime_result,Draw,France vs. England: Draw at halftime?,Yes,No,93770991594114735840558498036990297268526632198384626767392636869348270702717,32807033096625811812555210042254733971212535752474785077716547711581928459340,5758.863071999999,118203.2708,0.37,0.38,0.05,0.01,True,0.38,0.37,0.010000000000000009,2560.2994,9628.1184,269.8558,0.63,0.62,0.010000000000000009,459.48420000000004,6106.5077,4177.3306,Yes,0.44749,0.428629,0.502994,0.38,0.37,0.01,0.01178,0.05571,0.018849,0.04,0.359,9628.12,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941979,soccer_halftime_result,England,England leading at halftime?,Yes,No,101466604796646303063065849483250957756641188696476792686552742499161794954374,34680546878445570238499787418316253879485183282717196136763719253922561001547,272.21500000000003,122124.4162,0.23,0.24,0.05,0.01,True,0.24,0.23,0.009999999999999981,1414.08,8047.990400000001,153.8792,0.77,0.76,0.010000000000000009,515.1608,5387.0136,4477.92,Yes,0.261917,0.230489,0.273034,0.24,0.23,0.01,0.00912,0.012797,-0.036631,0.04,0.165,8047.99,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941980,soccer_second_half_result,France,France to win the second half?,Yes,No,81269570913916644194690320611023537431288854349067468910267873985178587398268,19496067462963110205036243822692095717194745632900824355345130843698426625482,661.7747360000001,42819.7679,0.41,0.44,0.05,0.01,True,0.44,0.41,0.030000000000000027,207.812,580.9135,49.199999999999996,0.59,0.56,0.029999999999999916,70.8,1041.944,264.48800000000006,No,0.680587,0.668766,0.712571,0.59,0.56,0.03,0.012095,0.078492,0.048671,0.04,0.598,1041.94,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941981,soccer_second_half_result,Draw,France vs. England: Second half draw?,Yes,No,59169302328506479397015766581411117208356044887548748930760200364562752545272,11243147421976689538894395841825473502307034835783870709980059448823287860895,286.436223,41762.6411,0.29,0.32,0.05,0.01,True,0.32,0.29,0.030000000000000027,121.10719999999999,231.349,204.5196,0.71,0.68,0.029999999999999916,500.7204,1547.8859,257.3528,Yes,0.39206,0.375737,0.441726,0.32,0.29,0.03,0.01088,0.06118,0.026857,0.04,0.307,231.35,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941982,soccer_second_half_result,England,England to win the second half?,Yes,No,101422564053483390522515281259389536590147788317745214542827734122694877131448,3632568448728797759836781450537073325968641255413176100873102585419543925335,272.981761,90095.0347,0.22,0.25,0.05,0.01,True,0.25,0.22,0.03,201.9125,3268.1129,93.8432,0.78,0.75,0.030000000000000027,332.71680000000003,524.5392,605.7375,Yes,0.288527,0.259806,0.302851,0.25,0.22,0.03,0.009375,0.029152,-0.017569,0.04,0.193,3268.11,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941983,soccer_exact_score,France 0 - 0 England,Exact Score: France 0 - 0 England?,Yes,No,77589184052310534074342368621823428560565401116328536972176290424846414791025,77899117691320282255084926855068126399522814425967645821251701722727475314950,5642.7092559999965,232103.81906,0.041,0.042,0.05,0.001,True,0.042,0.041,0.0010000000000000009,2242.76808,9627.22351,195.38263,0.959,0.958,0.0010000000000000009,4570.04737,28034.707599999998,51156.471919999996,Yes,0.091087,0.076386,0.143443,0.042,0.041,0.001,0.002012,0.047075,0.007374,0.065,0.0,9627.22,Oddschecker consensus captured 2026-07-16,,WATCH,0
