fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd,side,model_probability,scenario_p10,scenario_p90,ask,bid,spread,estimated_fee,central_net_edge,robust_edge,required_edge,max_entry,depth_2c_usd,external_probability,external_validation_source,external_conflict_reason,lineup_pending_reason,player_data_quality_reason,decision,stake_per_10k
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941971,moneyline,France,Will France win on 2026-07-18?,Yes,No,27017352779469567119021515174282416893555366624071034758236558815968401338728,24700818764893371447983775874874488061572200819525844393509377284018768095208,3572778.6220699274,3250376.6402,0.51,0.52,0.05,0.01,True,0.52,0.51,0.010000000000000009,326884.37080000003,1514673.2866000002,1231665.5499000002,0.49,0.48,0.010000000000000009,1183364.9401,1464160.4696,301728.37440000003,No,0.58528,0.567638,0.61642,0.49,0.48,0.01,0.012495,0.082785,0.053143,0.025,0.518,1464160.47,0.4863,Oddschecker and FanDuel consensus captured 2026-07-18,Independent structure remains materially divergent from the sharp pre-match consensus; correlated selections are downgraded until official XIs.,,,EXTERNAL_CONFLICT_PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941972,moneyline,Draw (France vs. England),Will France vs. England end in a draw?,Yes,No,85239138404163331579594125846576574312907099172264868553957025875753281044940,112547101819436418115775183743525115211037676921707460770609242558856503450400,1325006.430497997,3212258.0207,0.23,0.24,0.05,0.01,True,0.24,0.23,0.009999999999999981,240509.9184,738464.9784,77627.52080000001,0.77,0.76,0.010000000000000009,259883.43920000002,1100670.7017,761614.7416000001,Yes,0.264727,0.258622,0.299347,0.24,0.23,0.01,0.00912,0.015607,-0.002498,0.025,0.213,738464.98,,,,,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941973,moneyline,England,Will England win on 2026-07-18?,Yes,No,104204269101315799616235020335758894730330540969530162829399554926283403684718,34385162543059510571975707768358382063196208867331187336985212373807572088934,764056.5114869988,2969937.2397,0.24,0.25,0.05,0.01,True,0.25,0.24,0.010000000000000009,217943.4775,671977.0345000001,205209.2352,0.76,0.75,0.010000000000000009,649833.0448,1821620.4795000001,653845.6875,Yes,0.320553,0.295536,0.336629,0.25,0.24,0.01,0.009375,0.061178,0.024161,0.025,0.249,671977.03,0.2462,,,,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941977,soccer_halftime_result,France,France leading at halftime?,Yes,No,61811493468803204160632540963577001178772148991316628543392506941734077645782,78490391201114733703387667755358493334495392218047392522111826426630817820622,18628.769661999988,463692.8706,0.4,0.41,0.05,0.01,True,0.41,0.4,0.009999999999999953,6995.3625999999995,52802.576199999996,32436.976000000002,0.6,0.59,0.010000000000000009,48655.464,94155.2358,10066.4974,No,0.6583,0.647276,0.69922,0.6,0.59,0.01,0.012,0.0463,0.017276,0.04,0.577,94155.24,,,,,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941978,soccer_halftime_result,Draw,France vs. England: Draw at halftime?,Yes,No,93770991594114735840558498036990297268526632198384626767392636869348270702717,32807033096625811812555210042254733971212535752474785077716547711581928459340,42119.93257600001,643162.8089,0.37,0.38,0.05,0.01,True,0.38,0.37,0.010000000000000009,40880.1036,195598.98520000002,4977.7136,0.63,0.62,0.010000000000000009,8475.5664,85184.4238,66699.1164,Yes,0.373442,0.36384,0.438653,0.38,0.37,0.01,0.01178,-0.018338,-0.04594,0.04,0.295,195598.99,,,,,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941979,soccer_halftime_result,England,England leading at halftime?,Yes,No,101466604796646303063065849483250957756641188696476792686552742499161794954374,34680546878445570238499787418316253879485183282717196136763719253922561001547,8312.065805,480171.791,0.22,0.23,0.05,0.01,True,0.23,0.22,0.010000000000000009,17818.100000000002,43814.660200000006,11668.14,0.78,0.77,0.010000000000000009,41368.86,119492.94630000001,59651.9,Yes,0.284858,0.248998,0.293842,0.23,0.22,0.01,0.008855,0.046003,-0.007857,0.04,0.183,43814.66,,,,,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941980,soccer_second_half_result,France,France to win the second half?,Yes,No,81269570913916644194690320611023537431288854349067468910267873985178587398268,19496067462963110205036243822692095717194745632900824355345130843698426625482,17063.550973999998,203536.1206,0.45,0.46,0.05,0.01,True,0.46,0.45,0.010000000000000009,13880.725400000001,32825.6744,494.0415,0.55,0.54,0.010000000000000009,603.8285,9555.565200000001,16294.764600000002,No,0.631922,0.62014,0.670378,0.55,0.54,0.01,0.012375,0.069547,0.039765,0.04,0.549,9555.57,,,,,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941981,soccer_second_half_result,Draw,France vs. England: Second half draw?,Yes,No,59169302328506479397015766581411117208356044887548748930760200364562752545272,11243147421976689538894395841825473502307034835783870709980059448823287860895,3400.820911000001,120815.9635,0.3,0.32,0.05,0.01,True,0.32,0.3,0.020000000000000018,5193.728,11371.6362,486.54599999999994,0.7,0.68,0.019999999999999907,1135.274,6067.3133,11036.672,Yes,0.327938,0.320016,0.38492,0.32,0.3,0.02,0.01088,-0.002942,-0.028864,0.04,0.252,11371.64,,,,,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941982,soccer_second_half_result,England,England to win the second half?,Yes,No,101422564053483390522515281259389536590147788317745214542827734122694877131448,3632568448728797759836781450537073325968641255413176100873102585419543925335,3529.544356,153463.5314,0.26,0.27,0.05,0.01,True,0.27,0.26,0.010000000000000009,7312.8339000000005,12515.103900000002,165.4172,0.74,0.73,0.010000000000000009,470.8028,4262.1888,19771.7361,Yes,0.303984,0.271196,0.315384,0.27,0.26,0.01,0.009855,0.024129,-0.026659,0.04,0.205,12515.1,,,,,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941983,soccer_exact_score,France 0 - 0 England,Exact Score: France 0 - 0 England?,Yes,No,77589184052310534074342368621823428560565401116328536972176290424846414791025,77899117691320282255084926855068126399522814425967645821251701722727475314950,1157756.5815330045,676868.54546,0.039,0.04,0.05,0.001,True,0.04,0.039,0.0010000000000000009,565.8648000000001,15004.65767,851.93082,0.961,0.96,0.0010000000000000009,20992.44918,325822.11828,13580.7552,Yes,0.042244,0.037124,0.088304,0.04,0.039,0.001,0.00192,0.000324,-0.029796,0.065,0.0,15004.66,,,,,,PASS,0
