minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,p_scoreless_after,p_btts_after,expected_home_goals_after,expected_away_goals_after
1,1.0,0.07914166666666667,0.06889833333333334,0.00843,0.006658333333333333,0.139185,0.139105,0.00452,0.004458333333333333,0.025736666666666668,0.023215,0.008355,0.9850616666666666,0.006583333333333333,0.9849866666666667,7.5e-05,0.00843,0.006658333333333333
2,1.0,0.08583666666666667,0.07543166666666666,0.008856666666666667,0.006823333333333333,0.138785,0.13976833333333333,0.00414,0.004178333333333333,0.028075,0.025785,0.016976666666666668,0.9698366666666667,0.013186666666666666,0.9695983333333333,0.00024166666666666667,0.017286666666666665,0.013481666666666666
3,1.0,0.08557,0.07486166666666667,0.009353333333333333,0.00723,0.13685666666666665,0.13695333333333334,0.005836666666666667,0.005923333333333333,0.029588333333333335,0.026331666666666666,0.025788333333333333,0.954255,0.019956666666666668,0.95366,0.0006033333333333333,0.02664,0.020711666666666666
4,1.0,0.08692,0.07607833333333333,0.009595,0.007535,0.13783166666666666,0.13782833333333333,0.006598333333333334,0.006313333333333333,0.030913333333333334,0.027648333333333334,0.034645,0.93854,0.026815,0.9374466666666667,0.0011166666666666666,0.036235,0.028246666666666666
5,1.0,0.09327333333333333,0.08180833333333333,0.01003,0.007816666666666666,0.136465,0.13656,0.007213333333333334,0.00705,0.033966666666666666,0.030735,0.04366,0.922575,0.033765,0.92088,0.001745,0.046265,0.036063333333333336
6,1.0,0.09480666666666666,0.08219,0.010243333333333333,0.008098333333333334,0.13669,0.13680666666666666,0.007526666666666667,0.007558333333333334,0.03525166666666667,0.031558333333333334,0.052623333333333334,0.906575,0.04080166666666667,0.9041616666666666,0.0025166666666666666,0.056508333333333334,0.04416166666666667
7,1.0,0.09543833333333333,0.08279666666666667,0.010821666666666667,0.00834,0.13400333333333334,0.13387333333333334,0.009286666666666667,0.009228333333333333,0.03345666666666667,0.030335,0.061851666666666666,0.89036,0.047788333333333335,0.88699,0.00355,0.06733,0.05250166666666667
8,1.0,0.098615,0.0856,0.010936666666666667,0.008568333333333334,0.13443,0.134805,0.009173333333333334,0.00914,0.034865,0.03164,0.07087666666666667,0.8744133333333334,0.05471,0.8699266666666666,0.004791666666666666,0.07826666666666666,0.06107
9,1.0,0.09926833333333333,0.08584833333333333,0.010788333333333334,0.008703333333333334,0.12973666666666667,0.13046833333333333,0.011276666666666667,0.011193333333333333,0.03608833333333333,0.03229,0.07955,0.8588033333333334,0.06164666666666667,0.8531516666666666,0.006105,0.089055,0.06977333333333334
10,1.0,0.10190666666666667,0.0885,0.011633333333333334,0.009145,0.12541333333333332,0.125635,0.010306666666666667,0.010268333333333334,0.03747333333333333,0.03376833333333333,0.08875,0.8425933333333333,0.06865666666666667,0.8356116666666666,0.007648333333333333,0.10068833333333334,0.07891833333333333
