team,player,role,squad_status,p_appearance,expected_minutes,p_substituted,tournament_minutes,tournament_attempts,tournament_goals,tournament_assists,expected_shots,expected_goals,p_anytime_goal_90m,p_first_goal,p_assist_90m,p_yellow_90m,expected_sot,conditional_goal_lambda,conditional_shot_lambda,conditional_sot_lambda,conditional_assist_lambda,conditional_save_lambda,expected_saves
Argentina,Lionel Messi,FWD,starter,1.0,94.46799999999999,0.02,630.0,34.0,8.0,4,2.787367863325825,0.40270167356211434,0.3314884957660532,0.1607844495093226,0.2823023009425054,0.05259435615296881,1.2988871669063875,0.40270167356211434,2.787367863325825,1.2988871669063875,0.3317068305461022,0.0,0.0
Argentina,Enzo Fernández,MID,starter,1.0,94.46799999999999,0.02,570.0,12.0,2.0,,1.0967444611394779,0.10623722721759513,0.1007886946244273,0.04241674474427822,0.0825138008727716,0.3544329774533942,0.4274425276448936,0.10623722721759513,1.0967444611394779,0.4274425276448936,0.08611774098972538,0.0,0.0
Argentina,Julián Alvarez,FWD,starter,1.0,94.46799999999999,0.02,507.0,11.0,1.0,,1.3408629745287008,0.10163643620001984,0.09664207978798334,0.04057981259417088,0.02361967570454704,0.22843477704927917,0.6248295150096128,0.10163643620001984,1.3408629745287008,0.6248295150096128,0.023903091940999977,0.0,0.0
Argentina,Alexis Mac Allister,MID,starter,1.0,94.46799999999999,0.02,600.0,13.0,1.0,,1.0971593825865598,0.06891514291178116,0.06659411717696007,0.027515364458046962,0.04629328555499557,0.14963005429698606,0.42760423812386006,0.06891514291178116,1.0971593825865598,0.42760423812386006,0.04739908200577585,0.0,0.0
Argentina,Giuliano Simeone,FWD,starter,1.0,91.08,0.1473684210526316,162.0,0.0,0.0,,0.7729980446456259,0.05939795740003663,0.05766831333937328,0.023715490919284727,0.027206864416263854,0.050756828801275744,0.3602098070528586,0.05939795740003663,0.7729980446456259,0.3602098070528586,0.02758382414408608,0.0,0.0
Argentina,Lisandro Martínez,DEF,starter,1.0,94.46799999999999,0.02,582.0,4.0,1.0,,0.3586419894516792,0.03837767097528139,0.03765057919428938,0.015322838483954698,0.06442483018962164,0.3037086777761232,0.1093901161913738,0.03837767097528139,0.3586419894516792,0.1093901161913738,0.06659378394624271,0.0,0.0
Argentina,Leandro Paredes,MID,starter,1.0,94.44,0.021052631578947323,372.0,4.0,0.0,,0.6867740531778628,0.03769458431240771,0.036992986569106656,0.015050106284741809,0.11342459162593421,0.0926449514433273,0.26766165466318353,0.03769458431240771,0.6867740531778628,0.26766165466318353,0.12038909405781768,0.0,0.0
Argentina,Cristian Romero,DEF,starter,1.0,94.46799999999999,0.02,600.0,3.0,1.0,,0.2917012880224701,0.03291658099571983,0.032380725941210886,0.01314241956908458,0.05632458839997123,0.14963005429698606,0.08897239790225571,0.03291658099571983,0.2917012880224701,0.08897239790225571,0.05797301560845365,0.0,0.0
Argentina,Lautaro Martínez,FWD,bench,0.42000000000000004,10.080000000000002,0.0,312.0,10.0,3.0,,0.18599290840008084,0.026634875844866235,0.026283295884671598,0.010634358215065687,0.0014541012658663144,0.005748346155231343,0.08667094323467153,0.06341637105920532,0.44284025809543054,0.20635938865397982,0.0034646654692539365,0.0,0.0
Argentina,Rodrigo De Paul,MID,bench,0.7,16.799999999999997,0.0,0.0,2.0,0.0,,0.259377865455895,0.0166090495631252,0.016471879769336062,0.0066314025150636365,0.047250902400823525,0.017146097960514473,0.10108930051984566,0.02372721366160743,0.3705398077941357,0.1444132864569224,0.06914812340351228,0.0,0.0
Argentina,Nico Gonzalez,FWD,bench,0.7,16.799999999999997,0.0,208.0,7.0,0.0,,0.3128578377148424,0.014141361786917998,0.014041842395864812,0.005646142590145145,0.008956948526821384,0.009562207686990454,0.14578880520959364,0.020201945409882856,0.44693976816406056,0.20826972172799094,0.012853290200670137,0.0,0.0
Argentina,Nahuel Molina,DEF,starter,1.0,94.46799999999999,0.02,469.0,1.0,0.0,,0.17079582349543704,0.01193102282770973,0.01186013039469358,0.004763632890988173,0.032116949368212744,0.14963005429698606,0.05209477843275373,0.01193102282770973,0.17079582349543704,0.05209477843275373,0.03264401446736566,0.0,0.0
Argentina,Nicolás Tagliafico,DEF,starter,1.0,93.39,0.06052631578947365,357.0,0.0,0.0,,0.09666120851925791,0.007427545755946988,0.007400029705688982,0.002965554736864133,0.024070073230084588,0.14805576975905987,0.02948283007041725,0.007427545755946988,0.09666120851925791,0.02948283007041725,0.0243644914888251,0.0,0.0
Argentina,Thiago Almada,FWD,bench,0.32,7.68,0.0,243.0,5.0,0.0,,0.1087617554035931,0.005571576072293481,0.00555608362812654,0.0022245320804331,0.004195603356873745,0.00438269658328283,0.050681953466801904,0.017411175225917126,0.33988048563622847,0.15838110458375596,0.013138842490282273,0.0,0.0
Argentina,Giovani Lo Celso,MID,bench,0.12,2.88,0.0,60.0,1.0,1.0,,0.0259377865455895,0.003459074785047563,0.0034530990779881865,0.0013810854824760632,0.0017922967040686633,0.0029604311631238334,0.010108930051984568,0.02882562320872969,0.21614822121324587,0.08424108376653806,0.014949206579481832,0.0,0.0
