report,date,team,player,role,duration_match,passes_attempted,passes_completed,pass_completion_pct,switches,crosses_attempted,crosses_completed,line_breaks_attempted,line_breaks_completed,line_break_completion_pct,ball_progressions,take_ons,step_ins,attempts,goals,minutes,starter,attempts_per90,goals_per90,passes_attempted_per90,passes_completed_per90,crosses_attempted_per90,line_breaks_completed_per90,ball_progressions_per90,take_ons_per90,step_ins_per90
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Emiliano Martínez,GK,120,45,29,64,0,0,0,25,10,40,0,0,0,0,0,120,True,0.0,0.0,33.75,21.75,0.0,7.5,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Nicolás Tagliafico,DEF,120,25,21,84,0,0,0,6,3,50,0,0,0,0,0,78,True,0.0,0.0,28.846153846153847,24.23076923076923,0.0,3.4615384615384617,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Leandro Paredes,MID,120,118,111,94,1,0,0,18,18,100,1,0,1,0,0,120,True,0.0,0.0,88.5,83.25,0.0,13.5,0.75,0.0,0.75
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Lisandro Martínez,DEF,120,76,66,87,0,1,0,19,12,63,4,2,2,2,0,120,True,1.5,0.0,57.0,49.5,0.75,9.0,3.0,1.5,1.5
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Rodrigo De Paul,MID,120,35,32,91,0,1,0,6,5,83,1,0,1,0,0,0,False,0.0,0.0,210.0,192.0,6.0,30.0,6.0,0.0,6.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Julián Alvarez,FWD,120,45,40,89,0,0,0,8,6,75,1,1,0,3,1,120,True,2.25,0.75,33.75,30.0,0.0,4.5,0.75,0.75,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Lionel Messi,FWD,120,75,62,83,1,6,4,20,12,60,8,3,5,4,0,120,True,3.0,0.0,56.25,46.5,4.5,9.0,6.0,2.25,3.75
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Cristian Romero,DEF,120,43,41,95,0,0,0,10,9,90,0,0,0,1,0,120,True,0.75,0.0,32.25,30.75,0.0,6.75,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Alexis Mac Allister,MID,120,54,51,94,1,1,0,5,5,100,1,1,0,4,1,120,True,3.0,0.75,40.5,38.25,0.75,3.75,0.75,0.75,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Enzo Fernández,MID,120,65,61,94,1,2,1,7,6,86,1,1,0,0,0,90,True,0.0,0.0,65.0,61.0,2.0,6.0,1.0,1.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Nahuel Molina,DEF,120,38,31,82,0,1,0,11,6,55,0,0,0,1,0,85,True,1.0588235294117647,0.0,40.23529411764706,32.8235294117647,1.0588235294117647,6.352941176470588,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Gonzalo Montiel,DEF,120,22,17,77,0,1,0,2,1,50,0,0,0,0,0,35,False,0.0,0.0,56.57142857142857,43.714285714285715,2.5714285714285716,2.5714285714285716,0.0,0.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Nico Gonzalez,FWD,120,31,27,87,0,2,2,2,0,0,2,2,0,2,0,42,False,4.285714285714286,0.0,66.42857142857143,57.857142857142854,4.285714285714286,0.0,4.285714285714286,4.285714285714286,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Thiago Almada,FWD,120,28,26,93,1,1,0,5,5,100,1,1,0,3,0,30,False,9.0,0.0,84.0,78.0,3.0,15.0,3.0,3.0,0.0
PMSR-M100-ARG-V-SUI.pdf,2026-07-11,Argentina,Lautaro Martínez,FWD,120,7,6,86,0,0,0,0,0,0,1,1,0,2,1,35,False,5.142857142857143,2.5714285714285716,18.0,15.428571428571429,0.0,0.0,2.5714285714285716,2.5714285714285716,0.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Mike Maignan,GK,90,41,34,83,0,0,0,12,6,50,0,0,0,0,0,90,True,0.0,0.0,41.0,34.0,0.0,6.0,0.0,0.0,0.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Lucas Digne,DEF,90,44,37,84,0,3,0,15,12,80,1,0,1,0,0,90,True,0.0,0.0,44.0,37.0,3.0,12.0,1.0,0.0,1.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Dayot Upamecano,DEF,90,56,50,89,0,0,0,18,17,94,0,0,0,0,0,90,True,0.0,0.0,56.0,50.0,0.0,17.0,0.0,0.0,0.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Jules Koundé,DEF,90,42,32,76,0,2,1,22,16,73,1,0,1,0,0,90,True,0.0,0.0,42.0,32.0,2.0,16.0,1.0,0.0,1.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Ousmane Dembélé,FWD,90,30,22,73,1,6,1,9,4,44,2,1,1,2,0,90,True,2.0,0.0,30.0,22.0,6.0,4.0,2.0,1.0,1.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Aurélien Tchouaméni,MID,90,59,52,88,0,1,0,16,11,69,0,0,0,1,0,90,True,1.0,0.0,59.0,52.0,1.0,11.0,0.0,0.0,0.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Kylian Mbappé,FWD,90,15,12,80,0,2,0,6,5,83,9,8,1,3,0,90,True,3.0,0.0,15.0,12.0,2.0,5.0,9.0,8.0,1.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Michael Olise,FWD,90,36,28,78,1,4,1,11,6,55,5,5,0,0,0,90,True,0.0,0.0,36.0,28.0,4.0,6.0,5.0,5.0,0.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Bradley Barcola,FWD,90,14,12,86,0,1,0,5,3,60,4,4,0,1,0,57,True,1.5789473684210527,0.0,22.105263157894736,18.94736842105263,1.5789473684210527,4.7368421052631575,6.315789473684211,6.315789473684211,0.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Adrien Rabiot,MID,90,21,15,71,0,0,0,6,4,67,1,0,1,1,0,45,True,2.0,0.0,42.0,30.0,0.0,8.0,2.0,0.0,2.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,William Saliba,DEF,90,10,10,100,0,0,0,0,0,0,0,0,0,0,0,30,True,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Manu Koné,MID,90,28,24,86,1,1,0,6,4,67,2,1,1,0,0,45,False,0.0,0.0,56.0,48.0,2.0,8.0,4.0,2.0,2.0
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Désiré Doué,FWD,90,17,14,82,1,1,0,7,3,43,6,3,3,2,0,33,False,5.454545454545454,0.0,46.36363636363637,38.18181818181818,2.727272727272727,8.181818181818182,16.363636363636363,8.181818181818182,8.181818181818182
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,France,Maxence Lacroix,DEF,90,50,48,96,1,0,0,17,15,88,1,0,1,0,0,60,False,0.0,0.0,75.0,72.0,0.0,22.5,1.5,0.0,1.5
PMSR-M101-FRA-V-ESP.pdf,2026-07-14,Spain,Unai Simón,GK,90,43,24,56,0,0,0,26,10,38,0,0,0,0,0,90,True,0.0,0.0,43.0,24.0,0.0,10.0,0.0,0.0,0.0
