fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941971,moneyline,France,Will France win on 2026-07-18?,Yes,No,27017352779469567119021515174282416893555366624071034758236558815968401338728,24700818764893371447983775874874488061572200819525844393509377284018768095208,3538536.2032889333,3274927.5408,0.51,0.52,0.05,0.01,True,0.52,0.51,0.010000000000000009,329530.9992,1518258.7406000001,1233514.6314,0.49,0.48,0.010000000000000009,1185141.5086,1449797.6237,304182.46079999994
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941972,moneyline,Draw (France vs. England),Will France vs. England end in a draw?,Yes,No,85239138404163331579594125846576574312907099172264868553957025875753281044940,112547101819436418115775183743525115211037676921707460770609242558856503450400,1304089.7313899978,3251623.8357,0.23,0.24,0.05,0.01,True,0.24,0.23,0.009999999999999981,229079.8008,752926.9278,66411.3201,0.77,0.76,0.010000000000000009,230125.9499,1071937.2333,725849.552
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18,France vs. England,2941973,moneyline,England,Will England win on 2026-07-18?,Yes,No,104204269101315799616235020335758894730330540969530162829399554926283403684718,34385162543059510571975707768358382063196208867331187336985212373807572088934,741183.7441569992,2924307.822,0.24,0.25,0.05,0.01,True,0.25,0.24,0.010000000000000009,217421.6125,671039.1679,226381.968,0.76,0.75,0.010000000000000009,716876.232,1890171.5931,652264.8374999999
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941977,soccer_halftime_result,France,France leading at halftime?,Yes,No,61811493468803204160632540963577001178772148991316628543392506941734077645782,78490391201114733703387667755358493334495392218047392522111826426630817820622,18628.769661999988,419918.7712,0.4,0.41,0.05,0.01,True,0.41,0.4,0.009999999999999953,6984.7026,34670.5562,30391.776,0.6,0.59,0.010000000000000009,45587.664,94137.43579999999,10051.1574
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941978,soccer_halftime_result,Draw,France vs. England: Draw at halftime?,Yes,No,93770991594114735840558498036990297268526632198384626767392636869348270702717,32807033096625811812555210042254733971212535752474785077716547711581928459340,41032.223165,667078.0467,0.37,0.38,0.05,0.01,True,0.38,0.37,0.010000000000000009,41170.492,204810.62360000002,5179.5523,0.63,0.62,0.010000000000000009,8819.237700000001,87958.0951,67172.908
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-halftime-result,France vs. England - Halftime Result,2941979,soccer_halftime_result,England,England leading at halftime?,Yes,No,101466604796646303063065849483250957756641188696476792686552742499161794954374,34680546878445570238499787418316253879485183282717196136763719253922561001547,5371.208162000001,484553.2256,0.22,0.23,0.05,0.01,True,0.23,0.22,0.010000000000000009,16901.1958,43218.956000000006,236.85860000000002,0.78,0.77,0.010000000000000009,839.7714000000001,109041.2277,56582.264200000005
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941980,soccer_second_half_result,France,France to win the second half?,Yes,No,81269570913916644194690320611023537431288854349067468910267873985178587398268,19496067462963110205036243822692095717194745632900824355345130843698426625482,16939.719671,195965.0842,0.45,0.46,0.05,0.01,True,0.46,0.45,0.010000000000000009,13945.810800000001,32069.8998,657.1664999999999,0.55,0.54,0.010000000000000009,803.2035,9841.1402,16371.1692
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941981,soccer_second_half_result,Draw,France vs. England: Second half draw?,Yes,No,59169302328506479397015766581411117208356044887548748930760200364562752545272,11243147421976689538894395841825473502307034835783870709980059448823287860895,3388.320911000001,114270.2964,0.3,0.32,0.05,0.01,True,0.32,0.3,0.020000000000000018,4612.448,9671.9247,480.966,0.7,0.68,0.019999999999999907,1122.254,6501.8873,9801.452000000001
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-second-half-result,France vs. England - Second Half Result,2941982,soccer_second_half_result,England,England to win the second half?,Yes,No,101422564053483390522515281259389536590147788317745214542827734122694877131448,3632568448728797759836781450537073325968641255413176100873102585419543925335,3499.4147279999997,151264.2469,0.26,0.27,0.05,0.01,True,0.27,0.26,0.010000000000000009,4658.094,8748.2405,155.6672,0.74,0.73,0.010000000000000009,443.0528,4652.4388,12594.106
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-exact-score,France vs. England - Exact Score,2941983,soccer_exact_score,France 0 - 0 England,Exact Score: France 0 - 0 England?,Yes,No,77589184052310534074342368621823428560565401116328536972176290424846414791025,77899117691320282255084926855068126399522814425967645821251701722727475314950,1156154.5415330047,546964.38733,0.039,0.04,0.05,0.001,True,0.04,0.039,0.0010000000000000009,788.738,14954.19127,616.0424399999999,0.961,0.96,0.0010000000000000009,15179.917559999998,324199.28146,18929.712
