fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,7977097.913675,6763375.321142004,2891165,Will England win on 2026-07-15?,moneyline,main_90m,England win,Yes,No,62975583795498792086117213116943744194566684233762863056174017776352240969485,27980003456155592362417715508008664868431744696620193216867102238354645950149,2460067.734725,3539081.282086996,0.3575,0.36,0.05,0.0025,0.36,0.3575,0.0025000000000000022,660662.869675,680116.5342999999,167690.44439999998,499231.80805,634648.545575,117915.658575,0.6425,0.64,0.0024999999999999467,912640.1419500001,1176492.064425,211918.351425,1148849.750325,1181045.6357,298116.3456
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,7977097.913675,6763375.321142004,2891166,Will England vs. Argentina end in a draw?,moneyline,main_90m,Draw,Yes,No,26480993337079434490856133942482101351393348205667335284619584625389515346213,75854478936717172903010368235076483702592235439702038819177032097826639383727,2576840.21055,863087.4671959985,0.3325,0.335,0.05,0.0025,0.335,0.3325,0.0025000000000000022,594894.076625,613077.6616250001,299194.3424,852761.6689,1032633.46855,298566.177175,0.6675,0.665,0.0024999999999999467,1760682.3261,2143430.58645,598709.7128249999,1168004.2650249999,1201670.950025,593921.10925
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15,England vs. Argentina,7977097.913675,6763375.321142004,2891167,Will Argentina win on 2026-07-15?,moneyline,main_90m,Argentina win,Yes,No,85633756210324151397822274959403676422451634259093065838612463900396751402106,105689268247217036209647530756150918909098301169178162392649971420120970124441,3445333.64235,2365788.5525030084,0.315,0.3175,0.05,0.0025,0.3175,0.315,0.0025000000000000022,1015489.773125,1125052.5319,414744.43022499996,201698.63267499997,327883.59462499997,772.78635,0.685,0.6825,0.0025000000000000577,457882.221675,756140.109725,6421.738,2322778.296875,2544801.5481,891537.2397749999
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891653,Spread: England (-1.5),spreads,spread,England (-1.5),England,Argentina,9672673949409772687752072662946310519015132525500329010995933525175067118138,85114811880071364109901579684216057234728758303760246661139812198099702976200,762520.011925,1141314.4628520024,0.1525,0.155,0.05,0.0025,0.155,0.1525,0.0025000000000000022,65130.909224999996,68623.772425,7232.02255,182004.88595,187411.6588,6506.029724999999,0.8475,0.845,0.0025000000000000577,1049565.0640500002,1083911.6812,36156.460275,342255.220775,358889.837575,38581.18745
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891654,Spread: Argentina (-1.5),spreads,spread,Argentina (-1.5),Argentina,England,33564588952055717202630068840485260674531183470813236783877209758871777035850,36650206686168002370330023100957778858668270081463208103780933030717616776997,702921.07365,172922.93763800012,0.12,0.1225,0.05,0.0025,0.125,0.1225,0.0025000000000000022,66072.842025,68321.170425,438.7125,12609.45445,16563.684725,6219.416875,0.8775,0.875,0.0024999999999999467,94204.05554999999,128093.67527499999,44551.333125,440631.46797500004,454371.19957500004,3070.9874999999997
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891655,Spread: England (-2.5),spreads,spread,England (-2.5),England,Argentina,108198604724907666794550545869005388059386710472085746181919868205312372338728,96036106742311747725667254197426653072075345216843694664556026635474500642969,303527.646725,345867.1460810006,0.0375,0.04,0.05,0.0025,0.04,0.0375,0.0025000000000000022,1266.2996,1558.403575,98.25319999999999,2891.643525,5383.336725,277.47525,0.9625,0.96,0.0025000000000000577,86802.446475,205725.863275,7121.864750000001,27184.440400000003,31850.226425,2358.0768
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891656,Spread: Argentina (-2.5),spreads,spread,Argentina (-2.5),Argentina,England,18058478853298825877227818350756723766436956441942705451313504638954140057323,12969165144471406703550225110471320605128996978820530925038073893145640924494,276359.23536,143516.12134800016,0.028,0.029,0.05,0.001,0.029,0.028,0.0010000000000000009,1116.36383,2184.40991,45.714729999999996,1839.85709,2235.163,182.51604,0.972,0.971,0.0010000000000000009,77527.81291000001,110807.437,6335.91396,34144.86617,56803.78009,1530.6552699999997
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891657,Spread: England (-3.5),spreads,spread,England (-3.5),England,Argentina,89610777510706713183468002297522888246634953848702741218519357539709971334508,18185865344542787623247796425835045609312190751525712556283432814727058973579,313212.16544,192489.581659,0.008,0.009,0.05,0.001,0.01,0.009,0.0010000000000000009,518.45367,969.80367,43.1928,129.3045,129.3045,76.11165,0.991,0.99,0.0010000000000000009,23343.7455,23343.7455,8380.73835,39782.55633,56376.20633,4276.0872
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891658,Spread: Argentina (-3.5),spreads,spread,Argentina (-3.5),Argentina,England,76609891115472864672228252102748785951261940284189931400842613012648364366076,112281340779036123274267399958174949463923054247062517196466973912812193680993,277217.11255,45050.663509,0.005,0.006,0.05,0.001,0.006,0.005,0.001,99.68342999999999,400.09343,15.91362,54.37089,54.37089,11.030050000000001,0.995,0.994,0.0010000000000000009,41486.819110000004,41486.819110000004,2194.9799500000004,11892.76657,23848.35657,2636.35638
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891659,Spread: England (-4.5),spreads,spread,England (-4.5),England,Argentina,67526368369003745637852335259887544426875906230864086484375831287264864038879,495358867680128216483199614433500801534392992836275260758563606818055737012,172606.562,32718.228257999996,0.002,0.003,0.05,0.001,0.003,0.002,0.001,70.67374000000001,72.40774,1.06527,38.66122,38.66122,5.15922,0.998,0.997,0.0010000000000000009,36042.94878,36042.94878,2574.45078,16321.98626,16422.25226,354.02473
