fixture_id,home,away,kickoff_beijing,hours_to_kickoff,early_regime,group,contract,side,model_probability,conservative_probability,ask,bid,spread,fee_per_share,depth_within_1c_usd,market_volume,liquidity_grade,central_net_edge,robust_edge,max_entry_for_5pp,recommended_amount_10k,decision
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,main_90m,England win,NO,0.644637,0.557481,0.6425,0.64,0.0025,0.011485,877414.27,3422380.51,A,-0.009348,-0.111503,0.48,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,main_90m,Draw,NO,0.67987,0.648512,0.6675,0.665,0.0025,0.011097,1769652.74,842084.99,A,0.001272,-0.045085,0.5712,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,main_90m,Argentina win,YES,0.324507,0.244154,0.3175,0.315,0.0025,0.010835,1117603.15,2281519.93,A,-0.003828,-0.099181,0.172,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,England (-1.5),YES,0.160746,0.106607,0.1525,0.15,0.0025,0.006462,33356.28,1092313.34,A,0.001783,-0.067355,0.0397,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,Argentina (-1.5),YES,0.139707,0.090199,0.12,0.1175,0.0025,0.00528,47992.61,152569.71,A,0.014427,-0.050081,0.024,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,England (-2.5),YES,0.053152,0.029812,0.04,0.0375,0.0025,0.00192,1362.23,341347.39,C,0.011232,-0.027108,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,Argentina (-2.5),YES,0.043856,0.024089,0.029,0.028,0.001,0.001408,1222.26,117925.59,C,0.013448,-0.021319,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,England (-3.5),YES,0.014149,0.006273,0.009,0.008,0.001,0.000446,469.18,191672.01,D,0.004703,-0.018173,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,Argentina (-3.5),YES,0.01106,0.004816,0.006,0.005,0.001,0.000298,99.69,44880.06,D,0.004762,-0.016482,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,England (-4.5),YES,0.003131,0.001087,0.003,0.002,0.001,0.00015,73.48,31718.23,D,-1.8e-05,-0.017062,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,Argentina (-4.5),YES,0.002316,0.000786,0.003,0.001,0.002,0.00015,59.32,8003.07,D,-0.000833,-0.017364,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,England (-5.5),NO,0.999409,0.998206,0.999,0.998,0.001,5e-05,9668.52,25696.41,A,0.000359,-0.015844,0.9299,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,spread,Argentina (-5.5),NO,0.999587,0.998713,0.999,0.997,0.002,5e-05,5.0,12490.38,D,0.000537,-0.015337,0.9304,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,totals,Total over 0.5,NO,0.11608,0.082788,0.11,0.1075,0.0025,0.004895,10087.51,294917.6,A,0.001185,-0.047107,0.0169,0.0,LIMIT_WATCH
