fixture_id,stage,group,contract,side,central_probability,spec_p10,confidence_class,ask,bid,spread,fee,central_net_edge,robust_edge,required_edge,max_taker_entry,ask_depth_1c_usd,market_volume,decision,recommended_amount_10k,maker_robust_edge,maker_decision,maker_queue_depth_at_price_usd,maker_recommended_amount_10k
fifwc-fra-eng-2026-07-18,World Cup third-place match,main_90m,France win,NO,0.53236,0.521282,standard,0.51,0.5,0.01,0.012495,0.009865,-0.011213,0.03,0.4688,188294.89,103844.63,PASS,0.0,0.011282,PASS,573243.74,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,main_90m,Draw,YES,0.25565,0.253142,standard,0.26,0.25,0.01,0.00962,-0.01397,-0.026478,0.03,0.2049,225711.15,12194.09,PASS,0.0,-0.006858,PASS,7508.1,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,main_90m,England win,YES,0.27671,0.26854,standard,0.27,0.26,0.01,0.009855,-0.003145,-0.021315,0.03,0.2199,116372.57,52769.17,PASS,0.0,-0.00146,PASS,4567.42,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,France (-1.5),NO,0.766644,0.760898,standard,0.72,0.71,0.01,0.01008,0.036564,0.020818,0.03,0.7106,6538.43,7955.78,WATCH,0.0,0.040898,MAKER_PRIMARY,4456.11,20.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,England (-1.5),YES,0.127793,0.123964,standard,0.12,0.11,0.01,0.00528,0.002513,-0.011316,0.03,0.0802,1582.22,1016.2,PASS,0.0,0.003964,PASS,60.94,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,France (-2.5),NO,0.898903,0.89422,standard,0.88,0.86,0.02,0.00528,0.013623,-0.00106,0.03,0.8477,6653.85,614.49,WATCH,0.0,0.02422,PASS,3777.9,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,England (-2.5),YES,0.051062,0.047763,standard,0.046,0.043,0.003,0.002194,0.002868,-0.010431,0.03,0.0073,446.59,3449.61,PASS,0.0,-0.005237,PASS,19.86,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,France (-3.5),NO,0.965084,0.963261,standard,0.955,0.95,0.005,0.002149,0.007935,-0.003888,0.03,0.9195,4421.98,3643.38,PASS,0.0,0.003261,PASS,2207.05,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,England (-3.5),YES,0.016158,0.015203,standard,0.016,0.012,0.004,0.000787,-0.000629,-0.011584,0.03,0.0,52.76,5.0,PASS,0.0,-0.006797,PASS,4.79,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,France (-4.5),NO,0.989665,0.988827,standard,0.99,0.91,0.08,0.000495,-0.00083,-0.011668,0.03,0.9462,345.95,50.56,PASS,0.0,0.068827,PASS,45.5,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,England (-4.5),NO,0.995628,0.995298,standard,0.996,0.99,0.006,0.000199,-0.000571,-0.010901,0.03,0.953,3141.84,604.99,PASS,0.0,-0.004702,PASS,900.46,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,France (-5.5),NO,0.997325,0.996998,standard,0.996,0.99,0.006,0.000199,0.001126,-0.009202,0.03,0.9548,3114.06,961.41,PASS,0.0,-0.003002,PASS,1883.76,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,spread,England (-5.5),NO,0.998967,0.998847,standard,0.997,0.994,0.003,0.00015,0.001817,-0.008303,0.03,0.9567,3364.68,520.0,PASS,0.0,-0.005153,PASS,180.91,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,totals,Total over 0.5,NO,0.042113,0.037706,standard,0.039,0.034,0.005,0.001874,0.001239,-0.013168,0.03,0.0,519.64,15683.93,PASS,0.0,-0.006294,PASS,42.98,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,totals,Total over 1.5,NO,0.177477,0.167952,standard,0.15,0.14,0.01,0.006375,0.021102,0.001577,0.03,0.1225,2993.68,4528.85,WATCH,0.0,0.017952,PASS,112.0,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,totals,Total over 2.5,NO,0.371675,0.356699,standard,0.32,0.31,0.01,0.01088,0.040795,0.015819,0.03,0.306,5274.31,18469.65,WATCH,0.0,0.036699,MAKER_ALTERNATIVE,2050.3,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,totals,Total over 3.5,NO,0.591003,0.579646,standard,0.56,0.55,0.01,0.01232,0.018683,-0.002674,0.03,0.5271,33215.89,42149.63,WATCH,0.0,0.019646,PASS,30962.66,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,totals,Total over 4.5,NO,0.780625,0.77203,standard,0.77,0.76,0.01,0.008855,0.00177,-0.016825,0.03,0.7219,15977.43,1245.61,PASS,0.0,0.00203,PASS,314.87,0.0
fifwc-fra-eng-2026-07-18,World Cup third-place match,totals,Total over 5.5,NO,0.889467,0.881232,standard,0.88,0.87,0.01,0.00528,0.004187,-0.014048,0.03,0.8343,11493.7,7298.57,PASS,0.0,0.001232,PASS,2075.98,0.0
