minute,p_home_shot,p_away_shot,p_home_sot,p_away_sot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_red,p_away_red,p_home_penalty,p_away_penalty,p_home_corner,p_away_corner,p_var_review,p_any_injury,p_any_substitution,expected_home_possession,p_home_leading_after,p_draw_after,p_away_leading_after,expected_score_home_after,expected_score_away_after,most_likely_score_after
1,0.11746,0.11027,0.04327,0.04101,0.0127,0.012575,0.098045,0.087545,0.01425,0.01283,0.000845,0.00079,0.00194,0.00153,0.03127,0.027565,0.00433,0.00123,0.00123,0.5044132310640536,0.01254,0.975045,0.012415,0.01271,0.012595,0-0
2,0.11693,0.1108,0.042645,0.0412,0.012415,0.012345,0.09899,0.086935,0.01411,0.012695,0.000825,0.00081,0.001735,0.00185,0.030725,0.027145,0.00428,0.001205,0.001205,0.5044106810640536,0.024365,0.95144,0.024195,0.02514,0.02496,0-0
3,0.1162,0.11174,0.04144,0.041445,0.01266,0.012625,0.097,0.086685,0.01395,0.012095,0.0008,0.00075,0.00177,0.001635,0.03077,0.027505,0.004285,0.00105,0.00105,0.5044079560640535,0.03594,0.928275,0.035785,0.037805,0.03759,0-0
4,0.117125,0.11092,0.042685,0.04159,0.01242,0.01272,0.09852,0.08739,0.01425,0.012675,0.000915,0.00078,0.001655,0.00175,0.03049,0.02747,0.004265,0.0012,0.0012,0.5044105560640535,0.046745,0.90634,0.046915,0.05024,0.050325,0-0
5,0.117875,0.11158,0.04347,0.04165,0.01271,0.01245,0.098475,0.087565,0.01417,0.01251,0.0009,0.000815,0.001735,0.0016,0.031145,0.02815,0.00426,0.001155,0.001155,0.5043954060640536,0.057655,0.884795,0.05755,0.062965,0.06279,0-0
6,0.11631,0.111055,0.04266,0.041005,0.01266,0.012345,0.098325,0.08754,0.014165,0.012445,0.00093,0.000805,0.001755,0.00155,0.030515,0.027275,0.00452,0.001145,0.001145,0.5043851810640536,0.067925,0.864315,0.06776,0.075635,0.07515,0-0
7,0.11698,0.112005,0.042325,0.041375,0.012325,0.012455,0.097755,0.08641,0.014645,0.012305,0.00102,0.000735,0.001655,0.001625,0.031915,0.02813,0.00431,0.001125,0.001125,0.5043715560640536,0.07751,0.845005,0.077485,0.08797,0.087625,0-0
8,0.11784,0.11106,0.04332,0.041415,0.012575,0.01251,0.098885,0.087415,0.01416,0.01281,0.000915,0.000915,0.00182,0.00166,0.03164,0.028115,0.004345,0.0013,0.0013,0.5043747060640537,0.086765,0.826405,0.08683,0.100565,0.10015,0-0
9,0.11592,0.1101,0.04247,0.04135,0.01254,0.01243,0.09854,0.087915,0.01407,0.012985,0.00087,0.000755,0.001645,0.001625,0.03081,0.027515,0.004165,0.001135,0.001135,0.5043654810640537,0.09591,0.808165,0.095925,0.11312,0.112585,0-0
10,0.11577,0.11052,0.042545,0.040835,0.01276,0.012175,0.09714,0.087415,0.014635,0.013405,0.00084,0.000815,0.001835,0.0016,0.030155,0.02799,0.004345,0.001095,0.001095,0.5043486310640536,0.104865,0.79069,0.104445,0.1259,0.124765,0-0
11,0.129665,0.124175,0.04765,0.046055,0.013965,0.01362,0.11019,0.098265,0.01617,0.01424,0.001105,0.000955,0.00201,0.00167,0.03397,0.03061,0.00483,0.00116,0.00116,0.5043191060640536,0.11449,0.772005,0.113505,0.13989,0.138405,0-0
12,0.130925,0.124775,0.047575,0.04591,0.0142,0.01395,0.109575,0.09837,0.015715,0.014075,0.00091,0.000915,0.002065,0.001895,0.03407,0.03067,0.004775,0.00111,0.00111,0.5043070060640535,0.12386,0.75362,0.12252,0.15411,0.152385,0-0
13,0.130775,0.1249,0.047525,0.04569,0.01386,0.01361,0.108525,0.09786,0.015345,0.01408,0.000935,0.000875,0.00196,0.001885,0.035105,0.031005,0.004905,0.00116,0.00116,0.5043008310640537,0.1325,0.736405,0.131095,0.16798,0.166025,0-0
14,0.130345,0.12506,0.047455,0.0459,0.013255,0.013635,0.10888,0.09813,0.016075,0.01424,0.00103,0.00084,0.00182,0.001735,0.034825,0.03106,0.004675,0.001215,0.001215,0.5042989810640536,0.140485,0.720135,0.13938,0.181245,0.179685,0-0
15,0.131325,0.12465,0.047875,0.04621,0.01399,0.014055,0.109765,0.0978,0.01573,0.014235,0.00099,0.000885,0.002015,0.0018,0.03446,0.03098,0.004605,0.001175,0.001175,0.5042974060640536,0.148655,0.703645,0.1477,0.195245,0.19376,0-0
16,0.130785,0.125605,0.04736,0.04653,0.013975,0.01443,0.109675,0.098085,0.015905,0.014575,0.001025,0.00079,0.002145,0.001965,0.03507,0.031335,0.004935,0.001175,0.001175,0.5043104810640536,0.15625,0.687645,0.156105,0.20924,0.20822,0-0
17,0.129195,0.12307,0.046765,0.046325,0.01366,0.01368,0.110115,0.09771,0.016215,0.014315,0.000915,0.000915,0.001965,0.00187,0.03449,0.030415,0.00473,0.001205,0.001205,0.5043132810640536,0.16361,0.672845,0.163545,0.22293,0.22191,0-0
18,0.13048,0.12525,0.04735,0.047035,0.01366,0.013775,0.11025,0.096545,0.015915,0.014355,0.001025,0.001055,0.001845,0.00183,0.034205,0.03162,0.004705,0.001095,0.001095,0.5043208310640537,0.170595,0.658715,0.17069,0.23661,0.235695,0-0
19,0.13009,0.12358,0.04814,0.045745,0.014065,0.01379,0.109735,0.097585,0.016715,0.01415,0.00106,0.000845,0.002045,0.001905,0.034175,0.03068,0.00506,0.00124,0.00124,0.5043017810640537,0.177585,0.64488,0.177535,0.25071,0.249495,0-0
20,0.131725,0.124095,0.048225,0.04594,0.01407,0.01341,0.110995,0.097325,0.016465,0.01448,0.00111,0.000925,0.00221,0.00177,0.034995,0.030875,0.005035,0.00109,0.00109,0.5042705060640535,0.184535,0.63153,0.183935,0.2648,0.262915,0-0
21,0.131235,0.12463,0.047425,0.04684,0.01386,0.01439,0.1088,0.09765,0.01578,0.014045,0.00106,0.000865,0.002035,0.0018,0.034225,0.031235,0.004945,0.001095,0.001095,0.5042681560640536,0.1907,0.618905,0.190395,0.27867,0.27733,0-0
22,0.13064,0.12436,0.046965,0.046285,0.01359,0.01397,0.110005,0.097325,0.01601,0.01396,0.000955,0.00088,0.002005,0.00194,0.03457,0.031205,0.004795,0.001235,0.001235,0.5042739560640537,0.19689,0.60622,0.19689,0.29228,0.291305,0-0
23,0.13065,0.124995,0.04802,0.046865,0.01414,0.014325,0.1098,0.097175,0.01606,0.01403,0.00094,0.00085,0.001925,0.001855,0.034775,0.03114,0.00473,0.00119,0.00119,0.5042779060640535,0.20268,0.59436,0.20296,0.30643,0.30563,0-0
