team,player,role,squad_status,fc26_ovr,p_appearance,expected_shots,p_anytime_goal_90m,p_first_goal,p_assist_90m,p_yellow_90m,p_substituted
England,Harry Kane,FWD,starter,89,1.0,5.465919480450021,0.5195000618759024,0.23116346454807488,0.11735702721851146,0.0850871700466516,0.26
England,Bukayo Saka,FWD,starter,88,1.0,2.591809916845926,0.21015862756074508,0.07543244278657367,0.14868818225364808,0.09234336114210397,0.26
England,Jude Bellingham,MID,starter,90,1.0,1.7746651721205013,0.18643748285918754,0.06602275029620333,0.14686359960137418,0.20425359497287954,0.19999999999999998
England,Anthony Gordon,FWD,starter,83,1.0,2.27070691951535,0.18145582039297584,0.06407965224521432,0.10150962294516452,0.06644521024828089,0.355
England,Declan Rice,MID,starter,87,1.0,0.7123180184799195,0.05185051568305247,0.017104515833499263,0.11480409802974369,0.2203810800020726,0.23600000000000002
England,Elliot Anderson,MID,starter,80,1.0,0.539556059327365,0.03557916960232184,0.011643255995181605,0.09928279679757027,0.16618518709548963,0.37
England,Nico O'Reilly,DEF,starter,73,1.0,0.1831370941595545,0.011705638877978906,0.003786645053194039,0.06158787165767274,0.10865042589062676,0.2
England,John Stones,DEF,starter,82,1.0,0.11742391316915633,0.00634236113062582,0.0020464279327285654,0.07007321543999799,0.17057028164352733,0.1
England,Ezri Konsa,DEF,starter,82,1.0,0.08894451946554921,0.004321485974525449,0.0013930288660836297,0.06299738508165337,0.19910979792637354,0.1
England,Marc Guéhi,DEF,starter,82,1.0,0.040863409148939475,0.0014740758274732382,0.0004745242005130498,0.055344525775187864,0.19407938630537216,0.1
England,Jordan Pickford,GK,starter,84,1.0,0.006485497317716359,0.0005385594158926529,0.00017329224273365405,0.025730208776653034,0.01973390509355766,0.01
Argentina,Lionel Messi,FWD,starter,86,1.0,4.339863543176509,0.4288613783963254,0.17772256109956194,0.1533813228113988,0.03179549069773531,0.27999999999999997
Argentina,Julián Alvarez,FWD,starter,87,1.0,4.31942461122704,0.41470035529055,0.17007577947550348,0.1230316358063515,0.09380760949831173,0.26
Argentina,Alexis Mac Allister,MID,starter,87,1.0,1.3459907173120798,0.12761235144997435,0.04385286407227136,0.13343486638053462,0.15193827533811724,0.19999999999999998
Argentina,Rodrigo De Paul,MID,starter,84,1.0,1.0413382718170108,0.08942972866888722,0.030129027497453685,0.11774784445141118,0.1731531509170049,0.26999999999999996
Argentina,Enzo Fernández,MID,starter,84,1.0,0.8814738165222745,0.07164202697547474,0.02392011758824857,0.11923544813271666,0.12961472662967558,0.26999999999999996
Argentina,Leandro Paredes,MID,starter,78,1.0,0.6676856776106087,0.0493119307724058,0.016282720611674076,0.10152470644790407,0.12287311736845233,0.444
Argentina,Nahuel Molina,DEF,starter,79,1.0,0.2143800332673949,0.015098543031152276,0.00490342858861385,0.06785662141598177,0.12287311736845233,0.17500000000000002
Argentina,Lisandro Martínez,DEF,starter,81,1.0,0.13745627300201485,0.008186696416511366,0.0026499746052023195,0.07075878306643686,0.18235684365997934,0.125
Argentina,Nicolás Tagliafico,DEF,starter,78,1.0,0.11635422306778068,0.006504801629452646,0.0021038748817123016,0.06099661939678934,0.14798897065057912,0.2
Argentina,Cristian Romero,DEF,starter,82,1.0,0.0746040459420652,0.0035203899750956506,0.0011370034065565319,0.033154105115061214,0.19697424997180257,0.12400000000000003
Argentina,Emiliano Martínez,GK,starter,85,1.0,0.00896878705521959,0.0008762311768879326,0.0002826481732018779,0.018995736845729923,0.02246033518130641,0.01
England,Ollie Watkins,FWD,bench,84,0.4867013843205601,0.43292284807556564,0.020075716681268528,0.005621200670755188,0.0068387872514095085,0.017034548451219603,0.0
England,Eberechi Eze,MID,bench,83,0.413611069361831,0.15141965167207405,0.005660139191330496,0.001584838973572539,0.007354198597864786,0.014476387427664087,0.0
England,Noni Madueke,FWD,bench,80,0.4115784467839252,0.2544926729280604,0.008346084173234878,0.002336903568505766,0.005145341552878362,0.014405245637437383,0.0
England,Marcus Rashford,FWD,bench,80,0.4115784467839252,0.34983228841729613,0.013481482581558636,0.0037748151228364185,0.005971965478312276,0.014405245637437383,0.0
England,Morgan Rogers,MID,bench,82,0.39597902289660125,0.12648536970643806,0.004219603030104349,0.001181488848429218,0.00610640352488608,0.013859265801381046,0.0
England,Kobbie Mainoo,MID,bench,77,0.3156825153268221,0.07009602278926083,0.0014989273119174063,0.0004196996473368738,0.0030314145440064875,0.011048888036438775,0.0
England,Reece James,DEF,bench,81,0.24940515979449562,0.017675093779741732,0.0003176330816331864,8.89372628572922e-05,0.0022855911433065255,0.009776682263944231,0.0
Argentina,Lautaro Martínez,FWD,bench,88,0.5742726834023159,0.6411643626277946,0.03835165056769654,0.010738462158955032,0.010499969119803257,0.020099543919081055,0.0
Argentina,Exequiel Palacios,MID,bench,84,0.4370713183836479,0.1334073521998112,0.004789845164051618,0.001341156645934453,0.007811254821072896,0.017133195680639,0.0
Argentina,Giovani Lo Celso,MID,bench,82,0.40102070998487194,0.15363761241876164,0.0056952361105019784,0.001594666110940554,0.007266487478907722,0.01403572484947052,0.0
Argentina,Thiago Almada,FWD,bench,79,0.3990291654446673,0.23576896708482845,0.007308019779915087,0.0020462455383762246,0.006200468325816433,0.013966020790563357,0.0
Argentina,Nico Gonzalez,FWD,bench,78,0.3818208570375682,0.23609256326822964,0.007188154295408264,0.002012683202714314,0.004215353568381559,0.013363729996314888,0.0
Argentina,Facundo Medina,DEF,bench,79,0.2293260832083225,0.004763344288974059,6.880829771093668e-05,1.9266323359062272e-05,0.001062935894934696,0.008668525945274593,0.0
Argentina,Gonzalo Montiel,DEF,bench,78,0.21824543874429037,0.010751676837904367,0.00014777972364474548,4.137832262052874e-05,0.001012056509742769,0.007638590356050163,0.0
