team,player,role,squad_status,p_appearance,expected_minutes,p_substituted,tournament_minutes,tournament_attempts,tournament_goals,expected_shots,expected_goals,p_anytime_goal_90m,p_first_goal,p_assist_90m,p_yellow_90m
England,Harry Kane,FWD,starter,1.0,94.46799999999999,0.02,654.0,23.0,6.0,2.2193374608256455,0.4177057073329129,0.3414439918864882,0.14164521037999103,0.03555926821541011,0.08726458976168727
England,Jude Bellingham,MID,starter,1.0,90.0,0.18796992481203012,540.0,17.0,6.0,1.6222150424970923,0.3702193872341379,0.3094171910353999,0.1255424622430072,0.07260896952079798,0.2344689783462396
England,Anthony Gordon,FWD,starter,1.0,90.744,0.16000000000000003,399.0,6.0,1.0,1.1992305573306443,0.1388146002119775,0.1296106164926072,0.0470724313928727,0.09083932825234187,0.060727679952092495
England,Bukayo Saka,FWD,starter,1.0,94.46799999999999,0.02,267.0,8.0,0.0,1.8799903321908245,0.10450655352300314,0.0992311058221288,0.03543847378665489,0.08492933282523718,0.19364318011567172
England,Elliot Anderson,MID,starter,1.0,93.92,0.04060150375939853,638.0,7.0,0.0,0.7800239519383936,0.044512793559765555,0.04353663655585793,0.015094416709391467,0.09156889963827675,0.11016264990923863
England,Declan Rice,MID,starter,1.0,90.33333333333333,0.17543859649122817,470.0,5.0,0.0,0.6423526702410272,0.04154398074940496,0.040692856633413044,0.014087683720782373,0.09967256017370951,0.17579463339215828
England,Djed Spence,DEF,starter,1.0,94.46799999999999,0.02,313.0,2.0,0.0,0.39738855281501556,0.03212624301457769,0.03161567739399784,0.01089410168602697,0.09807336918771115,0.17771042382984015
England,Marcus Rashford,FWD,bench,0.42000000000000004,10.080000000000002,0.0,176.0,9.0,1.0,0.3032698455680168,0.030074387511344062,0.029626652794712993,0.010198311565560092,0.014074074925882418,0.009695642996918719
England,John Stones,DEF,starter,1.0,94.46799999999999,0.02,330.0,1.0,0.0,0.31649847582843726,0.029002762367397433,0.02858621893885971,0.009834920387756935,0.05706098616005506,0.23463745328196117
England,Reece James,DEF,starter,1.0,94.46799999999999,0.02,319.0,1.0,0.0,0.25722746003857716,0.022685610844325584,0.02243022719793908,0.007692756082171713,0.07488905371789267,0.17771042382984015
England,Marc Guéhi,DEF,starter,1.0,94.46799999999999,0.02,573.0,1.0,0.0,0.1704601627612882,0.015033359643185213,0.014920922831597405,0.00509785562417488,0.08597502999692586,0.17771042382984015
England,Eberechi Eze,MID,bench,0.52,12.48,0.0,130.0,2.0,0.0,0.12955224952212926,0.010473444747590795,0.010418789202182643,0.003551575328352756,0.008295481545467998,0.015389540437240834
England,Ollie Watkins,FWD,bench,0.22000000000000003,5.280000000000001,0.0,6.0,0.0,0.0,0.0954109871836764,0.009256018691460583,0.00921331361169253,0.0031387426406126067,0.0007525001579425927,0.0036386859757271406
England,Morgan Rogers,MID,bench,0.52,12.48,0.0,245.0,2.0,0.0,0.0944969349455531,0.007639453815889753,0.007610347354903735,0.0025905608277396563,0.008467513773767532,0.015389540437240834
England,Noni Madueke,FWD,bench,0.22000000000000003,5.280000000000001,0.0,288.0,6.0,0.0,0.08632794448670338,0.005234283619676546,0.005220608627171108,0.001774960675619206,0.007268375282548201,0.0036386859757271406
England,Nico O'Reilly,DEF,bench,0.32,5.76,0.0,461.0,7.0,0.0,0.05076578408411449,0.0028969967668560693,0.002892804521007153,0.000982379961077321,0.004592800607265746,0.011859263019596722
England,Kobbie Mainoo,MID,bench,0.12,2.88,0.0,0.0,0.0,0.0,0.028604841418703748,0.0027750152750026886,0.002771168479242858,0.0009410156852900463,0.00020325119450370632,0.003572646370629484
England,Ezri Konsa,DEF,bench,0.22000000000000003,3.9600000000000004,0.0,557.0,2.0,0.0,0.011143080015345792,0.000900844510915052,0.0009004388723135026,0.0003054789724635598,0.0038520537477075845,0.008168430294801965
England,Jordan Pickford,GK,starter,1.0,94.46799999999999,0.02,660.0,0.0,0.0,0.002836999642143943,0.0002752232472429963,0.0002751853767994916,9.332899712123893e-05,0.050332718484096484,0.06313950057095252
France,Kylian Mbappé,FWD,starter,1.0,93.08,0.07218045112781957,617.0,33.0,8.0,3.9777107292190528,0.5219858789957851,0.4066589263643029,0.17900577068032694,0.09364370124999488,0.09033244787824601
France,Ousmane Dembélé,FWD,starter,1.0,91.36,0.13684210526315788,492.0,18.0,5.0,2.788087943330221,0.3766438608289338,0.31383960101771713,0.12916331129379366,0.08458343470937812,0.08873959755702931
France,Bradley Barcola,FWD,starter,1.0,92.62,0.08947368421052626,346.0,8.0,2.0,2.020303177105461,0.2157537517672513,0.19406626280119943,0.07398891074710592,0.0675566411144497,0.08990672596656513
France,Michael Olise,FWD,starter,1.0,92.6,0.09022556390977443,605.0,17.0,0.0,2.3125698386917155,0.058421997128494475,0.05674818611980659,0.020034784543959752,0.12699628228213145,0.08988821179935869
France,Adrien Rabiot,MID,starter,1.0,91.5,0.13157894736842102,495.0,8.0,0.0,1.2858799173895448,0.04872739727753707,0.04755926775068808,0.016710193999294798,0.09204070446902834,0.1542438209909639
France,Aurélien Tchouaméni,MID,starter,1.0,93.6,0.052631578947368474,360.0,3.0,0.0,0.8612685160969784,0.04518981105832478,0.044183959840319864,0.015497041741734755,0.07157403627804415,0.15748935540943587
France,Lucas Digne,DEF,starter,1.0,93.6,0.052631578947368474,450.0,2.0,0.0,0.3892486280542188,0.022125400998686283,0.021882429559927363,0.007587512644979223,0.0865313076000298,0.24844807009833292
France,Dayot Upamecano,DEF,starter,1.0,93.6,0.052631578947368474,630.0,3.0,0.0,0.4071451167003897,0.021362456136662617,0.021135895038978725,0.0073258742779109725,0.10188305886700488,0.24844807009833292
France,Désiré Doué,FWD,bench,0.52,12.48,0.0,357.0,13.0,1.0,0.3716270854626678,0.021040276315933925,0.020820473968701014,0.007215388440213331,0.014498638632561622,0.012613769722285006
